,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.38474047,-0.7359056,0.0,0.07318605,-0.7359056,0.0,0.03170592
1,80059,-0.12520604,0.07751109,0.0,-0.12520604,0.0,0.03434411,-0.12520604,0.008245579,0.0
2,80060,0.49774978,0.2920497,0.0,0.49774978,0.033925045,0.0,0.49774978,0.015530552,0.0
3,80061,1.0719814,0.03960261,0.0,1.0719814,0.16567622,0.0,1.0719814,0.0331081,0.0
4,80062,1.541278,0.06462071,0.0,1.541278,0.0,0.04582635,1.541278,0.0,0.28039998
5,80063,1.8597006,0.0,0.033380195,1.8597006,0.0,0.38601556,1.8597006,0.0,0.237805
6,80064,1.996079,0.06118014,0.0,-3.003921,0.022842007,0.0,1.996079,0.0,0.023098212
7,80065,1.9370635,0.0,0.064528026,1.9370635,0.082126096,0.0,1.9370635,0.0,0.005014874
8,80066,1.6884309,0.0,0.068864316,1.6884309,0.0,0.048368543,1.6884309,0.098696694,0.0
9,80067,1.2745197,0.0,0.03632159,1.2745197,0.0,0.13930228,1.2745197,0.17797342,0.0
10,80068,0.7358472,0.18270892,0.0,0.7358472,0.0,0.0519296,0.7358472,0.0,0.015099571
11,80069,0.12514333,0.044453964,0.0,0.12514333,0.010912896,0.0,0.12514333,0.02874731,0.0
12,80070,-0.49781063,0.0583119,0.0,-0.49781063,0.032205753,0.0,-0.49781063,0.0,0.01366429
13,80071,-1.0720345,0.25002506,0.0,-1.0720345,0.0,0.07576002,-1.0720345,0.13974915,0.0
14,80072,-1.541318,0.63133395,0.0,-1.541318,0.0,0.12514874,-1.541318,0.09269937,0.0
15,80073,-1.8597236,1.0,0.0,-1.8597236,0.021981368,0.0,-1.8597236,0.06082132,0.0
16,80074,-1.9960829,0.6212363,0.0,-1.9960829,0.3022397,0.0,-1.9960829,0.021880077,0.0
17,80075,-1.9370478,0.35395676,0.0,-1.9370478,0.0008473979,0.0,-1.9370478,0.29798812,0.0
18,80076,-1.6883973,0.0,0.04864792,-1.6883973,0.0,0.13562536,-1.6883973,0.029845618,0.0
19,80077,-1.2744713,0.0,0.59839,-1.2744713,0.0,0.16996418,-1.2744713,0.064939804,0.0
20,80078,-0.7357887,0.0,0.3323329,-0.7357887,0.07941376,0.0,-0.7357887,0.051448967,0.0
21,80079,-0.12508062,0.08891587,0.0,-0.12508062,0.0,0.01602906,-0.12508062,0.0,0.014276006
22,80080,0.4978715,0.28025368,0.0,0.4978715,0.060944457,0.0,0.4978715,0.02206015,0.0
23,80081,1.0720875,0.02803298,0.0,1.0720875,0.0,0.10729116,1.0720875,0.027213389,0.0
24,80082,1.5413581,0.02905052,0.0,1.5413581,0.0,0.31203574,1.5413581,0.0,0.12467474
25,80083,1.8597467,0.010655366,0.0,1.8597467,0.0,0.27757642,1.8597467,0.0,0.16479175
26,80084,1.9960868,0.055395328,0.0,1.9960868,0.0,0.059423115,1.9960868,0.09849743,0.0
27,80085,1.9370322,0.087432265,0.0,1.9370322,0.0,0.0515059,1.9370322,0.0,0.0737448
28,80086,1.6883636,0.0,0.050958402,1.6883636,0.0,0.008879141,1.6883636,0.0,0.2410622
29,80087,1.2744229,0.0,0.01041836,1.2744229,0.0,0.12331294,1.2744229,0.0,0.06390307
30,80088,0.7357303,0.16105062,0.0,0.7357303,0.0,0.071656756,0.7357303,0.017810581,0.0
31,80089,0.12501791,0.038804863,0.0,0.12501791,0.0068592886,0.0,0.12501791,0.012301172,0.0
32,80090,-0.49793234,0.029451711,0.0,-0.49793234,0.006310466,0.0,-0.49793234,0.0,0.016892347
33,80091,-1.0721406,0.12311996,0.0,-1.0721406,0.06395802,0.0,-1.0721406,0.09410419,0.0
