,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.07358718,0.0,-0.7359056,0.06331601,0.0,-0.7359056,0.0,0.041501865
1,80059,-0.12520604,0.081175275,0.0,-0.12520604,0.0856899,0.0,-0.12520604,0.0,0.006188007
2,80060,0.49774978,0.0016845482,0.0,0.49774978,0.028438708,0.0,0.49774978,0.021419156,0.0
3,80061,1.0719814,0.016305344,0.0,1.0719814,0.026898932,0.0,1.0719814,0.02994325,0.0
4,80062,1.541278,0.0414974,0.0,1.541278,0.0,0.0005938532,1.541278,0.0,0.00964692
5,80063,1.8597006,0.0,0.023499317,1.8597006,0.13000856,0.0,1.8597006,0.03874684,0.0
6,80064,1.996079,0.0,0.045686375,-3.003921,0.07519692,0.0,1.996079,0.0,0.006483135
7,80065,1.9370635,0.0014018259,0.0,1.9370635,0.097285606,0.0,1.9370635,0.010266204,0.0
8,80066,1.6884309,0.0,0.0033445335,1.6884309,0.07456461,0.0,1.6884309,0.0,0.0037473412
9,80067,1.2745197,0.026238708,0.0,1.2745197,0.06695518,0.0,1.2745197,0.044107277,0.0
10,80068,0.7358472,0.023786753,0.0,0.7358472,0.05391311,0.0,0.7358472,0.03796579,0.0
11,80069,0.12514333,0.006093105,0.0,0.12514333,0.011084721,0.0,0.12514333,0.0,0.013677356
12,80070,-0.49781063,0.073307686,0.0,-0.49781063,0.03832592,0.0,-0.49781063,0.0,0.024856359
13,80071,-1.0720345,0.109817065,0.0,-1.0720345,0.0,0.008001945,-1.0720345,0.0,0.05864508
14,80072,-1.541318,0.098939635,0.0,-1.541318,0.0,0.022675961,-1.541318,0.002815189,0.0
15,80073,-1.8597236,0.11081137,0.0,-1.8597236,0.06629148,0.0,-1.8597236,0.0,0.032639597
16,80074,-1.9960829,0.10222884,0.0,-1.9960829,0.15642238,0.0,-1.9960829,0.015745606,0.0
17,80075,-1.9370478,0.11762672,0.0,-1.9370478,0.09164084,0.0,-1.9370478,0.0,0.0009388512
18,80076,-1.6883973,0.0765923,0.0,-1.6883973,0.05823669,0.0,-1.6883973,0.009196847,0.0
19,80077,-1.2744713,0.076520965,0.0,-1.2744713,0.07565345,0.0,-1.2744713,0.0,0.046542857
20,80078,-0.7357887,0.08191415,0.0,-0.7357887,0.032512933,0.0,-0.7357887,0.0032075762,0.0
21,80079,-0.12508062,0.0807262,0.0,-0.12508062,0.08395697,0.0,-0.12508062,0.00014837025,0.0
22,80080,0.4978715,0.004011703,0.0,0.4978715,0.021413822,0.0,0.4978715,0.0,0.015306203
23,80081,1.0720875,0.004445525,0.0,1.0720875,0.02607905,0.0,1.0720875,0.009718748,0.0
24,80082,1.5413581,0.008714147,0.0,1.5413581,0.06193329,0.0,1.5413581,0.06289224,0.0
25,80083,1.8597467,0.022020329,0.0,1.8597467,0.13344781,0.0,1.8597467,0.12364713,0.0
26,80084,1.9960868,0.02405831,0.0,1.9960868,0.08226622,0.0,1.9960868,0.0,0.013320324
27,80085,1.9370322,0.0,0.059370678,1.9370322,0.12377788,0.0,1.9370322,0.06826049,0.0
28,80086,1.6883636,0.0,0.036043428,1.6883636,0.11401373,0.0,1.6883636,0.011235945,0.0
29,80087,1.2744229,0.0,0.010918612,1.2744229,0.040706918,0.0,1.2744229,0.086738415,0.0
30,80088,0.7357303,0.0041847606,0.0,0.7357303,0.05684553,0.0,0.7357303,0.067574956,0.0
31,80089,0.12501791,0.0033332445,0.0,0.12501791,0.006780496,0.0,0.12501791,0.0,0.012762943
32,80090,-0.49793234,0.07238744,0.0,-0.49793234,0.048843585,0.0,-0.49793234,0.0,0.039306086
33,80091,-1.0721406,0.08507297,0.0,-1.0721406,0.029681122,0.0,-1.0721406,0.0,0.038027074
34,80092,-1.541398,0.14716952,0.0,-1.541398,0.074131414,0.0,-1.541398,0.0,0.08004265
35,80093,-1.8597698,0.1183125,0.0,-1.8597698,0.0,0.0018170393,-1.8597698,0.0,0.023330105
36,80094,-1.9960908,0.10251305,0.0,-1.9960908,0.06971045,0.0,-1.9960908,0.002846079,0.0
37,80095,-1.9370165,0.05413517,0.0,-1.9370165,0.15565379,0.0,-1.9370165,0.0,0.006315784
38,80096,-1.6883298,0.06252305,0.0,-1.6883298,0.103772216,0.0,-1.6883298,0.0,0.0072323056
39,80097,-1.2743745,0.07744716,0.0,-1.2743745,0.053100422,0.0,-1.2743745,0.0,0.038253225
40,80098,-0.7356719,0.08563346,0.0,-0.7356719,0.041192222,0.0,-0.7356719,0.0,0.039982185
41,80099,-0.1249552,0.082123555,0.0,-0.1249552,0.082158044,0.0,-0.1249552,0.0,0.001298984
42,80100,0.4979932,0.004678997,0.0,0.4979932,0.017184526,0.0,0.4979932,0.018366525,0.0
43,80101,-3.3175178,0.024425266,0.0,1.0721936,0.003650206,0.0,1.0721936,0.0,0.02146419
44,80102,2.4533055,0.0,0.025859224,1.5414381,0.056863397,0.0,1.5414381,0.03742677,0.0
45,80103,3.7805083,0.06580754,0.0,1.859793,0.108488426,0.0,1.859793,0.1594574,0.0
46,80104,1.0749108,0.0005462159,0.0,1.9960947,0.025293034,0.0,1.9960947,0.0035665927,0.0
47,80105,-0.78283393,0.084740005,0.0,1.9370009,0.06964693,0.0,1.9370009,0.05280443,0.0
48,80106,5.086924,0.023328865,0.0,1.6882962,0.056899868,0.0,1.6882962,0.070680186,0.0
49,80107,3.6084764,0.032501023,0.0,1.274326,0.07000917,0.0,1.274326,0.077865854,0.0
50,80108,0.73561347,0.022890082,0.0,0.73561347,0.05757932,0.0,0.73561347,0.046196617,0.0
51,80109,0.124892496,0.0018934575,0.0,0.124892496,0.008104167,0.0,0.124892496,0.0,0.02180683
52,80110,-0.49805406,0.06697652,0.0,-0.49805406,0.05008786,0.0,-0.49805406,0.0,0.030918201
53,80111,-1.0722467,0.061310038,0.0,-1.0722467,0.0,0.00046433933,-1.0722467,0.0,0.07388913
54,80112,-1.5414782,0.108132765,0.0,-1.5414782,0.020234924,0.0,-1.5414782,0.0,0.047194395
55,80113,-1.8598161,0.13549851,0.0,-1.8598161,0.0,0.014024959,-1.8598161,0.0,0.05288221
56,80114,-1.9960986,0.09303795,0.0,-1.9960986,0.117837116,0.0,-1.9960986,0.019476201,0.0
57,80115,-1.9369853,0.03556445,0.0,-1.9369853,0.093497075,0.0,-1.9369853,0.051959112,0.0
58,80116,-1.6882625,0.0,7.145591e-05,-1.6882625,0.15209465,0.0,-1.6882625,0.037823126,0.0
59,80117,-1.2742776,0.092347704,0.0,-1.2742776,0.048180636,0.0,-1.2742776,0.0,0.03854054
60,80118,-0.735555,0.07852247,0.0,-0.735555,0.0070975814,0.0,-0.735555,0.0,0.04222647
61,80119,-0.124829784,0.07855039,0.0,-0.124829784,0.07598071,0.0,-0.124829784,0.0,0.005029826
62,80120,0.4981149,0.0016499368,0.0,0.4981149,0.049683068,0.0,0.4981149,0.0070173177,0.0
63,80121,1.0722997,0.028819805,0.0,1.0722997,0.005925382,0.0,1.0722997,0.0,0.036072828
64,80122,1.5415182,0.0,0.0075517483,1.5415182,0.0,0.0057946276,1.5415182,0.0,0.075399384
65,80123,1.8598392,0.024071585,0.0,1.8598392,0.11584628,0.0,1.8598392,0.073584825,0.0
66,80124,1.9961026,0.03155622,0.0,-3.0038974,0.03892672,0.0,1.9961026,0.0,0.050570935
67,80125,1.9369696,0.0066996114,0.0,1.9369696,0.0,0.04804827,1.9369696,0.0,0.049428385
68,80126,1.6882288,0.006425821,0.0,1.6882288,0.0,0.09055374,1.6882288,0.0,0.01880866
69,80127,1.2742292,0.0,0.008090893,1.2742292,0.09629118,0.0,1.2742292,0.0,0.011265967
70,80128,0.7354966,0.02590103,0.0,0.7354966,0.08478417,0.0,0.7354966,0.048882417,0.0
71,80129,0.12476707,0.0044793924,0.0,0.12476707,0.012088826,0.0,0.12476707,0.0,0.008657578
72,80130,-0.49817577,0.0765454,0.0,-0.49817577,0.06695977,0.0,-0.49817577,0.0,0.029143713
73,80131,-1.0723528,0.073636554,0.0,-1.0723528,0.0926339,0.0,-1.0723528,0.0,0.055452265
74,80132,-1.5415583,0.1244288,0.0,-1.5415583,0.10291487,0.0,-1.5415583,0.019121155,0.0
75,80133,-1.8598623,0.106001735,0.0,-1.8598623,0.13014577,0.0,-1.8598623,0.05233153,0.0
76,80134,-1.9961065,0.1032033,0.0,-1.9961065,0.21496177,0.0,-1.9961065,0.15836304,0.0
77,80135,-1.9369539,0.063761,0.0,-1.9369539,0.24889128,0.0,-1.9369539,0.13444453,0.0
78,80136,-1.6881951,0.06037615,0.0,-1.6881951,0.15314509,0.0,-1.6881951,0.062395893,0.0
79,80137,-1.2741808,0.07749294,0.0,-1.2741808,0.056174394,0.0,-1.2741808,0.0,0.0180054
80,80138,-0.73543817,0.074981436,0.0,-0.73543817,0.02829654,0.0,-0.73543817,0.0,0.01743859
81,80139,-0.12470436,0.0847276,0.0,-0.12470436,0.08692922,0.0,-0.12470436,0.0,0.005941261
82,80140,0.49823663,0.0,0.015783692,0.49823663,0.004080306,0.0,0.49823663,0.0,0.008902712
83,80141,1.0724057,0.0,0.0072238697,1.0724057,0.0,0.13196108,1.0724057,0.0,0.11087649
84,80142,1.5415982,0.007831617,0.0,1.5415982,0.0,0.1936769,1.5415982,0.0,0.22034186
85,80143,1.8598853,0.01482586,0.0,1.8598853,0.0,0.15950088,1.8598853,0.0,0.15702312
86,80144,1.9961103,0.07472836,0.0,1.9961103,0.0,0.26487687,-3.0038896,1.0,0.0
87,80145,1.9369383,0.061826978,0.0,1.9369383,0.0,0.27180797,1.9369383,0.0,0.29358044
88,80146,1.6881615,0.022323396,0.0,1.6881615,0.0,0.24382344,1.6881615,0.0,0.26936978
89,80147,1.2741323,0.028035527,0.0,1.2741323,0.0,0.17770948,1.2741323,0.0,0.1761955
90,80148,0.73537976,0.016063064,0.0,0.73537976,0.0,0.033654742,0.73537976,0.0,0.028634218
91,80149,0.12464165,0.0046971096,0.0,0.12464165,0.0,0.02018952,0.12464165,0.0,0.028833948
92,80150,-0.49829745,0.08147996,0.0,-0.49829745,0.14565003,0.0,-0.49829745,0.058757845,0.0
93,80151,-1.0724587,0.10789792,0.0,-1.0724587,0.2424932,0.0,-1.0724587,0.10497469,0.0
94,80152,-1.5416383,0.08906929,0.0,-1.5416383,0.32030943,0.0,-1.5416383,0.22251761,0.0
95,80153,-1.8599085,0.1398819,0.0,-1.8599085,0.41423196,0.0,-1.8599085,0.19510794,0.0
