,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.014736564730901971,0.0,-0.7359056,0.008967124313567814,0.0,-0.7359056,0.0,0.019122483580575087
1,80059,-0.12520604,0.0010636876277166545,0.0,-0.12520604,0.0,0.00023439474337366503,-0.12520604,0.0,0.001546214538727876
2,80060,0.49774978,0.0,0.007203984558842952,0.49774978,0.011711685167666448,0.0,0.49774978,0.023974826689545096,0.0
3,80061,1.0719814,0.0,1.1064456545531829e-05,1.0719814,0.02887050169854612,0.0,1.0719814,0.058754971503169634,0.0
4,80062,1.541278,0.02635286468565901,0.0,1.541278,0.043110529765734686,0.0,1.541278,0.040161218426068956,0.0
5,80063,1.8597006,0.0,0.014189776939724777,1.8597006,0.18164818457830698,0.0,1.8597006,0.11973005741633176,0.0
6,80064,1.996079,0.0,0.03377473901351683,-3.003921,0.0,0.009792334205882085,1.996079,0.015754731941993654,0.0
7,80065,1.9370635,0.03055155398412929,0.0,1.9370635,0.03132919768462708,0.0,1.9370635,0.0,0.0409344658664257
8,80066,1.6884309,0.02241799060645757,0.0,1.6884309,0.03369921299034968,0.0,1.6884309,0.011503787352664715,0.0
9,80067,1.2745197,0.004351225140223004,0.0,1.2745197,0.07782181809119937,0.0,1.2745197,0.04286974204376134,0.0
10,80068,0.7358472,0.001357977491260122,0.0,0.7358472,0.040542374576872924,0.0,0.7358472,0.0381283864334791,0.0
11,80069,0.12514333,0.003103014354017028,0.0,0.12514333,0.008798896113035358,0.0,0.12514333,0.009483313805021997,0.0
12,80070,-0.49781063,0.0,0.02095369578069954,-0.49781063,0.0,0.04095228315740086,-0.49781063,0.0,0.013207589787795286
13,80071,-1.0720345,0.0,0.014821439453328788,-1.0720345,0.0,0.0824284725315334,-1.0720345,0.0,0.06944114784825264
14,80072,-1.541318,0.0,0.003022729973538251,-1.541318,0.0,0.1444432658267318,-1.541318,0.0,0.06163206237639664
15,80073,-1.8597236,0.0,0.013265211707983704,-1.8597236,0.0,0.047678429932014106,-1.8597236,0.0,0.04367394486131574
16,80074,-1.9960829,0.021665798180213025,0.0,-1.9960829,0.022574111106816223,0.0,-1.9960829,0.0,3.9980050642494755e-05
17,80075,-1.9370478,0.064858857940146,0.0,-1.9370478,0.014134600037674397,0.0,-1.9370478,0.0,0.004925383526620053
18,80076,-1.6883973,0.019575360203239647,0.0,-1.6883973,0.023258458521218207,0.0,-1.6883973,0.0,0.00018977527550286265
19,80077,-1.2744713,0.03577886707531517,0.0,-1.2744713,0.056961132372889474,0.0,-1.2744713,0.0,0.009811066057104918
20,80078,-0.7357887,0.00442410603589445,0.0,-0.7357887,0.0,0.03526863821691222,-0.7357887,0.007168896011678709,0.0
21,80079,-0.12508062,0.0,6.855525029589985e-05,-0.12508062,0.00018190298680975737,0.0,-0.12508062,0.004306648187096596,0.0
22,80080,0.4978715,0.002941270711409731,0.0,0.4978715,0.0,0.007472245878560323,0.4978715,0.0,0.010720767286334879
23,80081,1.0720875,0.0,0.007697333631026797,1.0720875,0.03497202776215784,0.0,1.0720875,0.033179074464119225,0.0
24,80082,1.5413581,0.0,0.0033139147194090265,1.5413581,0.09086272230045161,0.0,1.5413581,0.12238696287646879,0.0
25,80083,1.8597467,0.004757293006033781,0.0,1.8597467,0.1858944710394031,0.0,1.8597467,0.1407952396785861,0.0
26,80084,1.9960868,0.048060787868116274,0.0,1.9960868,0.008887777018781249,0.0,1.9960868,0.0,0.04187623887083182
27,80085,1.9370322,0.0,0.01817903450143091,1.9370322,0.04493536563686303,0.0,1.9370322,0.010013752410153218,0.0
28,80086,1.6883636,0.0,0.004434913617827176,1.6883636,0.07577904151153746,0.0,1.6883636,0.039011567246830935,0.0
29,80087,1.2744229,0.46725595754603677,0.0,1.2744229,0.617562459804725,0.0,1.2744229,0.08518674293945351,0.0
30,80088,0.7357303,0.0,0.016381048843412273,0.7357303,0.046568443164734845,0.0,0.7357303,0.06452303243255281,0.0
31,80089,0.12501791,0.0013380142794787188,0.0,0.12501791,0.00450281519293818,0.0,0.12501791,0.008012940768802894,0.0
32,80090,-0.49793234,0.0,0.013066728687696628,-0.49793234,0.0,0.027660652356372457,-0.49793234,0.0,0.0350387678987204
33,80091,-1.0721406,0.0,0.026203420466482944,-1.0721406,0.0,0.039829360715613375,-1.0721406,0.0,0.04478344502053358
34,80092,-1.541398,0.0,0.0053889220709146726,-1.541398,0.0,0.06677677892753657,-1.541398,0.0,0.195782953446634
