,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.016263105,0.0,-0.7359056,0.008244952,0.0,-0.7359056,0.12862045,0.0
1,80059,-0.12520604,0.0,0.037710067,-0.12520604,0.0,0.013356635,-0.12520604,0.0,0.0033658126
2,80060,0.49774978,0.19556765,0.0,0.49774978,0.011775046,0.0,0.49774978,0.004529459,0.0
3,80061,1.0719814,0.0,0.04049299,1.0719814,0.13819127,0.0,1.0719814,0.0,0.1272412
4,80062,1.541278,0.0,0.012374259,1.541278,0.0,0.09744258,1.541278,0.0,0.09465138
5,80063,1.8597006,0.0,0.08668013,1.8597006,0.0,0.019863304,1.8597006,0.04004872,0.0
6,80064,1.996079,0.20282198,0.0,-3.003921,0.049460914,0.0,1.996079,0.021897784,0.0
7,80065,1.9370635,0.0,0.08004796,1.9370635,0.2549789,0.0,1.9370635,0.31430808,0.0
8,80066,1.6884309,0.014838293,0.0,1.6884309,0.05558041,0.0,1.6884309,0.0,0.04410753
9,80067,1.2745197,0.0,0.06236853,1.2745197,0.0,0.016317349,1.2745197,0.0,0.074805155
10,80068,0.7358472,0.1958496,0.0,0.7358472,0.0,0.08559974,0.7358472,0.0044206586,0.0
11,80069,0.12514333,0.049232624,0.0,0.12514333,0.0,0.008721072,0.12514333,0.0,0.022967078
12,80070,-0.49781063,0.0,0.35198492,-0.49781063,0.0615027,0.0,-0.49781063,0.013251485,0.0
13,80071,-1.0720345,0.0,0.70943576,-1.0720345,0.028940778,0.0,-1.0720345,0.0,0.006432562
14,80072,-1.541318,0.0,0.5142002,-1.541318,0.0,0.03231953,-1.541318,0.070187695,0.0
15,80073,-1.8597236,0.0,0.15919797,-1.8597236,0.0,0.19342324,-1.8597236,0.0,0.43978667
16,80074,-1.9960829,0.2064587,0.0,-1.9960829,0.014352295,0.0,-1.9960829,0.0,0.23745026
17,80075,-1.9370478,0.58583313,0.0,-1.9370478,0.0,0.008785227,-1.9370478,0.10882668,0.0
18,80076,-1.6883973,0.71526694,0.0,-1.6883973,0.14704148,0.0,-1.6883973,0.06559238,0.0
19,80077,-1.2744713,0.14055744,0.0,-1.2744713,0.0,0.19878724,-1.2744713,0.07334751,0.0
20,80078,-0.7357887,0.0,0.10904211,-0.7357887,0.0046722484,0.0,-0.7357887,0.0,0.0034990655
21,80079,-0.12508062,0.0,0.042940658,-0.12508062,0.004431575,0.0,-0.12508062,0.0,0.021788446
22,80080,0.4978715,0.17714931,0.0,0.4978715,0.0,0.034123264,0.4978715,0.0046591745,0.0
23,80081,1.0720875,0.0,0.047774784,1.0720875,0.0,0.041770205,1.0720875,0.0,0.121205136
24,80082,1.5413581,0.06389625,0.0,1.5413581,0.0,0.15482283,1.5413581,0.00882268,0.0
25,80083,1.8597467,0.0,0.10629021,1.8597467,0.0,0.112599075,1.8597467,0.008378859,0.0
26,80084,1.9960868,0.05194596,0.0,1.9960868,0.0,0.010974828,1.9960868,0.051942177,0.0
27,80085,1.9370322,0.03989298,0.0,1.9370322,0.21884571,0.0,1.9370322,0.12433267,0.0
28,80086,1.6883636,0.0,0.013055421,1.6883636,0.23947242,0.0,1.6883636,0.0,0.02631569
29,80087,1.2744229,1.0,0.0,1.2744229,0.0,0.9879923,1.2744229,0.0,0.0365735
30,80088,0.7357303,0.09669465,0.0,0.7357303,0.0,0.11383909,0.7357303,0.0,0.066331446
31,80089,0.12501791,0.052704506,0.0,0.12501791,0.0,0.003219246,0.12501791,0.0,0.006097225
32,80090,-0.49793234,0.0,0.33200404,-0.49793234,0.0050442074,0.0,-0.49793234,0.033932205,0.0
33,80091,-1.0721406,0.0,0.76697433,-1.0721406,0.001820124,0.0,-1.0721406,0.11599076,0.0
34,80092,-1.541398,0.0,0.76326483,-1.541398,0.0,0.090204254,-1.541398,0.13251743,0.0
35,80093,-1.8597698,0.0,0.4970389,-1.8597698,0.15465993,0.0,-1.8597698,0.13691773,0.0
36,80094,-1.9960908,0.47363335,0.0,-1.9960908,0.0,0.1958967,-1.9960908,0.2594825,0.0
37,80095,-1.9370165,0.64660424,0.0,-1.9370165,0.0,0.1279632,-1.9370165,0.0,0.07133923
38,80096,-1.6883298,0.67617005,0.0,-1.6883298,0.0,0.08800011,-1.6883298,0.0,0.18811518
39,80097,-1.2743745,0.31988734,0.0,-1.2743745,0.0,0.058484044,-1.2743745,0.0,0.020098079
40,80098,-0.7356719,0.0,0.018959831,-0.7356719,0.024440955,0.0,-0.7356719,0.0,0.00048226642
41,80099,-0.1249552,0.0,0.04658667,-0.1249552,0.0,0.007923482,-0.1249552,0.0036488897,0.0
42,80100,0.4979932,0.21785223,0.0,0.4979932,0.0,0.026821064,0.4979932,0.03753395,0.0
