,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,2.0745361e-07,0.0,-0.7359056,0.0,1.5699892e-07,-0.7359056,0.0,3.9687052e-08
1,80059,-0.12520604,5.0451572e-08,0.0,-0.12520604,2.3622485e-08,0.0,-0.12520604,2.4207074e-08,0.0
2,80060,0.49774978,0.0,2.1909837e-07,0.49774978,0.0,4.515959e-08,0.49774978,1.9455342e-09,0.0
3,80061,1.0719814,0.0,3.411863e-07,1.0719814,0.0,6.2327075e-08,1.0719814,0.0,1.4579817e-07
4,80062,1.541278,0.0,5.7452013e-07,1.541278,3.8617763e-08,0.0,1.541278,0.0,5.442617e-08
5,80063,1.8597006,5.347842e-08,0.0,1.8597006,4.1622485e-07,0.0,1.8597006,4.7229614e-07,0.0
6,80064,1.996079,0.0,1.2788973e-07,-3.003921,0.0,5.1284405e-07,1.996079,6.653023e-07,0.0
7,80065,1.9370635,0.0,1.199334e-07,1.9370635,8.212627e-07,0.0,1.9370635,7.354578e-07,0.0
8,80066,1.6884309,0.0,7.441745e-11,1.6884309,4.5584048e-07,0.0,1.6884309,5.718133e-07,0.0
9,80067,1.2745197,0.0,1.7858169e-07,1.2745197,2.3038974e-07,0.0,1.2745197,0.0,1.3490884e-07
10,80068,0.7358472,0.0,2.4374395e-07,0.7358472,0.0,1.3497501e-07,0.7358472,0.0,1.5137843e-08
11,80069,0.12514333,0.0,3.642543e-08,0.12514333,0.0,1.3049535e-08,0.12514333,0.0,6.1555405e-10
12,80070,-0.49781063,4.3026393e-08,0.0,-0.49781063,0.0,1.0986196e-07,-0.49781063,0.0,1.93986e-08
13,80071,-1.0720345,0.0,3.001611e-07,-1.0720345,0.0,1.5504244e-07,-1.0720345,0.0,1.1990191e-07
14,80072,-1.541318,0.0,7.550598e-07,-1.541318,0.0,2.9315754e-07,-1.541318,0.0,4.1692348e-07
15,80073,-1.8597236,0.0,1.243728e-06,-1.8597236,0.0,6.864372e-07,-1.8597236,0.0,4.7010045e-07
16,80074,-1.9960829,0.0,1.1138463e-06,-1.9960829,0.0,5.782862e-07,-1.9960829,0.0,5.149807e-07
17,80075,-1.9370478,0.0,5.7296285e-07,-1.9370478,0.0,7.3008727e-07,-1.9370478,0.0,9.003752e-07
18,80076,-1.6883973,0.0,1.0041523e-06,-1.6883973,0.0,3.905811e-07,-1.6883973,0.0,3.3596837e-07
19,80077,-1.2744713,0.0,2.7375728e-07,-1.2744713,0.0,3.4865053e-08,-1.2744713,0.0,1.3707033e-07
20,80078,-0.7357887,0.0,6.475601e-08,-0.7357887,0.0,7.254063e-08,-0.7357887,0.0,1.8044268e-07
21,80079,-0.12508062,4.2823505e-08,0.0,-0.12508062,2.7196927e-08,0.0,-0.12508062,1.0433383e-08,0.0
22,80080,0.4978715,0.0,1.7175054e-07,0.4978715,0.0,1.5157055e-07,0.4978715,0.0,1.2777717e-07
23,80081,1.0720875,0.0,3.2313687e-07,1.0720875,0.0,5.020096e-09,1.0720875,0.0,5.4761763e-08
24,80082,1.5413581,0.0,3.2346148e-07,1.5413581,0.0,6.479087e-08,1.5413581,7.9439396e-08,0.0
25,80083,1.8597467,8.1630944e-08,0.0,1.8597467,3.4999223e-07,0.0,1.8597467,3.7810233e-07,0.0
26,80084,1.9960868,1.6540027e-07,0.0,1.9960868,6.4575323e-07,0.0,1.9960868,3.5951376e-07,0.0
27,80085,1.9370322,0.0,1.8908011e-07,1.9370322,8.912412e-07,0.0,1.9370322,5.994604e-07,0.0
28,80086,1.6883636,0.0,1.367839e-07,1.6883636,7.482537e-07,0.0,1.6883636,6.2226036e-07,0.0
29,80087,1.2744229,1.0,0.0,1.2744229,5.2402816e-06,0.0,1.2744229,0.0,5.6373253e-08
30,80088,0.7357303,0.0,1.7199952e-07,0.7357303,0.0,3.7352496e-08,0.7357303,0.0,7.419399e-08
31,80089,0.12501791,0.0,2.9935865e-08,0.12501791,0.0,1.1300841e-08,0.12501791,0.0,1.6761835e-09
32,80090,-0.49793234,3.1038518e-08,0.0,-0.49793234,0.0,6.667479e-08,-0.49793234,0.0,3.7344318e-08
33,80091,-1.0721406,0.0,1.2868114e-07,-1.0721406,0.0,1.4757345e-07,-1.0721406,0.0,2.3678311e-07
34,80092,-1.541398,0.0,8.988796e-07,-1.541398,0.0,4.3964292e-07,-1.541398,0.0,2.2209642e-07
35,80093,-1.8597698,0.0,1.2273644e-06,-1.8597698,0.0,5.8882097e-07,-1.8597698,0.0,4.90168e-07
36,80094,-1.9960908,0.0,1.2826681e-06,-1.9960908,0.0,7.3477224e-07,-1.9960908,0.0,3.8502313e-07
37,80095,-1.9370165,0.0,9.949354e-07,-1.9370165,0.0,6.458638e-07,-1.9370165,0.0,5.660336e-07
38,80096,-1.6883298,0.0,6.6845877e-07,-1.6883298,0.0,5.783445e-07,-1.6883298,0.0,2.522736e-07
39,80097,-1.2743745,0.0,2.3992078e-07,-1.2743745,0.0,9.045518e-08,-1.2743745,1.0805178e-06,0.0
40,80098,-0.7356719,5.6146938e-08,0.0,-0.7356719,4.001343e-08,0.0,-0.7356719,8.172164e-08,0.0
41,80099,-0.1249552,6.60303e-08,0.0,-0.1249552,0.0,6.191671e-09,-0.1249552,0.0,4.6276325e-09
42,80100,0.4979932,0.0,2.060368e-07,0.4979932,0.0,5.4386014e-08,0.4979932,2.195313e-08,0.0
43,80101,-3.3175178,1.0622783e-06,0.0,1.0721936,6.614848e-08,0.0,1.0721936,0.0,4.1177737e-09
44,80102,2.4533055,0.0,5.470824e-07,1.5414381,1.299224e-07,0.0,1.5414381,0.0,3.8333977e-07
45,80103,3.7805083,0.0,5.628447e-07,1.859793,1.4811158e-07,0.0,1.859793,3.7812796e-07,0.0
46,80104,1.0749108,0.0,1.3637073e-07,1.9960947,6.0806997e-07,0.0,1.9960947,5.7922887e-07,0.0
47,80105,-0.78283393,0.0,1.5608226e-08,1.9370009,4.1058692e-07,0.0,1.9370009,5.4385237e-07,0.0
48,80106,5.086924,0.0,3.749236e-07,1.6882962,3.3406744e-07,0.0,1.6882962,2.638048e-07,0.0
49,80107,3.6084764,0.0,2.2155227e-07,1.274326,1.0102835e-07,0.0,1.274326,1.3829857e-08,0.0
50,80108,0.73561347,0.0,2.2164477e-07,0.73561347,0.0,6.425681e-08,0.73561347,0.0,1.4296147e-07
51,80109,0.124892496,0.0,4.1062094e-08,0.124892496,0.0,2.6031032e-08,0.124892496,1.03908055e-08,0.0
52,80110,-0.49805406,6.068483e-08,0.0,-0.49805406,0.0,1.6468269e-07,-0.49805406,0.0,6.333424e-08
53,80111,-1.0722467,0.0,1.3599023e-07,-1.0722467,0.0,2.1895748e-07,-1.0722467,0.0,2.4085952e-07
54,80112,-1.5414782,0.0,8.214563e-07,-1.5414782,0.0,4.5197976e-07,-1.5414782,0.0,3.0704354e-07
55,80113,-1.8598161,0.0,1.3969953e-06,-1.8598161,0.0,9.390198e-07,-1.8598161,0.0,8.4390825e-07
