,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.084008805,0.0,-0.7359056,0.0,0.0,-0.7359056,0.0,0.0
1,80059,-0.12520604,0.2886094,0.0,-0.12520604,0.0,0.0,-0.12520604,0.0,0.5195389
2,80060,0.49774978,0.06304002,0.0,0.49774978,0.0,0.051202085,0.49774978,0.0,0.0
3,80061,1.0719814,0.06606093,0.0,1.0719814,0.0,0.1793269,1.0719814,0.0,0.10308895
4,80062,1.541278,0.0,0.0,1.541278,0.0,0.0,1.541278,0.0,0.0032923226
5,80063,1.8597006,0.0,0.0,1.8597006,0.0,0.0,1.8597006,0.0,0.0
6,80064,1.996079,0.0,0.0,-3.003921,0.0,0.0,1.996079,0.0,0.0
7,80065,1.9370635,0.09121157,0.0,1.9370635,0.0,0.0,1.9370635,0.0,0.0
8,80066,1.6884309,0.0,0.0,1.6884309,0.0,0.0,1.6884309,0.04681115,0.0
9,80067,1.2745197,0.0,0.052615736,1.2745197,0.0,0.0,1.2745197,0.02472269,0.0
10,80068,0.7358472,0.0,0.0,0.7358472,0.0,0.0,0.7358472,0.0,0.0
11,80069,0.12514333,0.0024579905,0.0,0.12514333,0.0,0.0,0.12514333,0.0,0.0
12,80070,-0.49781063,0.0,0.107691035,-0.49781063,0.0,0.121662505,-0.49781063,0.0,0.014541772
13,80071,-1.0720345,0.0,0.0,-1.0720345,0.1087499,0.0,-1.0720345,0.0,0.0
14,80072,-1.541318,0.16709955,0.0,-1.541318,0.0,0.0,-1.541318,0.3629936,0.0
15,80073,-1.8597236,0.23901042,0.0,-1.8597236,0.057371054,0.0,-1.8597236,0.0,0.0
16,80074,-1.9960829,0.016762715,0.0,-1.9960829,0.0,0.0,-1.9960829,0.0,0.0
17,80075,-1.9370478,0.0,0.0,-1.9370478,0.0,0.0,-1.9370478,0.0,0.0
18,80076,-1.6883973,0.0,0.0,-1.6883973,0.2988372,0.0,-1.6883973,0.0,0.0
19,80077,-1.2744713,0.0,0.0,-1.2744713,0.0,0.12531483,-1.2744713,0.0,0.0
20,80078,-0.7357887,0.0,0.0,-0.7357887,0.0,0.0,-0.7357887,0.0,0.0
