,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.008693241,0.0,-0.7359056,9.001911e-06,0.0,-0.7359056,0.0,0.0021008996
1,80059,-0.12520604,0.009262119,0.0,-0.12520604,0.0,0.0012627589,-0.12520604,0.00043636243,0.0
2,80060,0.49774978,0.007875186,0.0,0.49774978,0.000256387,0.0,0.49774978,0.0,0.00580079
3,80061,1.0719814,0.0,0.0017537607,1.0719814,0.0017419327,0.0,1.0719814,0.0,0.0030148448
4,80062,1.541278,0.0,0.004125597,1.541278,0.003936201,0.0,1.541278,0.0,0.0029495077
5,80063,1.8597006,0.0,0.004853119,1.8597006,0.0,0.0030098415,1.8597006,0.0,0.015522185
6,80064,1.996079,0.007361784,0.0,-3.003921,0.0,0.0023327302,1.996079,0.0,0.0029494031
7,80065,1.9370635,0.0,0.0031402644,1.9370635,0.011961363,0.0,1.9370635,0.0,3.454222e-06
8,80066,1.6884309,0.0,0.001828037,1.6884309,0.014008042,0.0,1.6884309,0.0031233912,0.0
9,80067,1.2745197,0.0,0.0028033417,1.2745197,0.009665018,0.0,1.2745197,0.0,0.008767401
10,80068,0.7358472,0.012736647,0.0,0.7358472,0.008559227,0.0,0.7358472,0.0,0.003079847
11,80069,0.12514333,0.003370546,0.0,0.12514333,0.0006091154,0.0,0.12514333,0.0,0.0061692614
12,80070,-0.49781063,0.0,0.0012991014,-0.49781063,0.0,0.004261463,-0.49781063,0.0,0.0023619342
13,80071,-1.0720345,0.0,0.006892931,-1.0720345,0.000391311,0.0,-1.0720345,0.0,0.005197536
14,80072,-1.541318,0.018081056,0.0,-1.541318,0.00372721,0.0,-1.541318,0.00798547,0.0
15,80073,-1.8597236,0.02783164,0.0,-1.8597236,0.00016023402,0.0,-1.8597236,0.034918573,0.0
16,80074,-1.9960829,0.07040332,0.0,-1.9960829,0.0029507848,0.0,-1.9960829,0.002496879,0.0
17,80075,-1.9370478,0.06195389,0.0,-1.9370478,0.028831521,0.0,-1.9370478,0.008808391,0.0
18,80076,-1.6883973,0.043681502,0.0,-1.6883973,0.005472011,0.0,-1.6883973,0.0,0.013224729
19,80077,-1.2744713,0.021750135,0.0,-1.2744713,0.006791126,0.0,-1.2744713,0.0,0.0054330723
20,80078,-0.7357887,0.00427819,0.0,-0.7357887,0.0,0.0080215195,-0.7357887,0.00070158386,0.0
