,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.15452872,-0.7359056,0.18176451,0.0,-0.7359056,0.0,0.060294766
1,80059,-0.12520604,0.0,0.13014095,-0.12520604,0.21193483,0.0,-0.12520604,0.0,0.005451026
2,80060,0.49774978,0.049341284,0.0,0.49774978,0.037244853,0.0,0.49774978,0.05856675,0.0
3,80061,1.0719814,0.03024271,0.0,1.0719814,0.05362414,0.0,1.0719814,0.03399029,0.0
4,80062,1.541278,0.041214537,0.0,1.541278,0.0803476,0.0,1.541278,0.10265127,0.0
5,80063,1.8597006,0.11436016,0.0,1.8597006,0.0,0.053295568,1.8597006,0.21317737,0.0
6,80064,1.996079,0.0,0.033924446,-3.003921,0.0,0.02390491,1.996079,0.265879,0.0
7,80065,1.9370635,0.009303761,0.0,1.9370635,0.1969003,0.0,1.9370635,0.28605077,0.0
8,80066,1.6884309,0.009332916,0.0,1.6884309,0.0,0.020435777,1.6884309,0.054316,0.0
9,80067,1.2745197,0.096613534,0.0,1.2745197,0.0,0.09962798,1.2745197,0.18526673,0.0
10,80068,0.7358472,0.06822463,0.0,0.7358472,0.034725394,0.0,0.7358472,0.09372423,0.0
11,80069,0.12514333,0.004095804,0.0,0.12514333,0.019801572,0.0,0.12514333,0.12339825,0.0
12,80070,-0.49781063,0.0,0.10838139,-0.49781063,0.20573266,0.0,-0.49781063,0.028524851,0.0
13,80071,-1.0720345,0.0,0.009430864,-1.0720345,0.14066234,0.0,-1.0720345,0.09754912,0.0
14,80072,-1.541318,0.090184666,0.0,-1.541318,0.10778093,0.0,-1.541318,0.05864242,0.0
15,80073,-1.8597236,0.0,0.13940442,-1.8597236,0.27319008,0.0,-1.8597236,0.10979165,0.0
16,80074,-1.9960829,0.0,0.36776996,-1.9960829,0.20844243,0.0,-1.9960829,0.02793323,0.0
17,80075,-1.9370478,0.0,0.07437767,-1.9370478,0.23123978,0.0,-1.9370478,0.025600165,0.0
18,80076,-1.6883973,0.0,0.008823193,-1.6883973,0.27453285,0.0,-1.6883973,0.0,0.01831073
19,80077,-1.2744713,0.0,0.21680178,-1.2744713,0.13260734,0.0,-1.2744713,0.0,0.2016339
20,80078,-0.7357887,0.0,0.257484,-0.7357887,0.22915077,0.0,-0.7357887,0.0039863903,0.0
21,80079,-0.12508062,0.0,0.13285401,-0.12508062,0.21750051,0.0,-0.12508062,0.0,0.016142111
22,80080,0.4978715,0.05265776,0.0,0.4978715,0.0,0.04403079,0.4978715,0.15896194,0.0
23,80081,1.0720875,0.066208996,0.0,1.0720875,0.03842351,0.0,1.0720875,0.090000235,0.0
24,80082,1.5413581,0.03814932,0.0,1.5413581,0.013029065,0.0,1.5413581,0.063672826,0.0
25,80083,1.8597467,0.08444799,0.0,1.8597467,0.018899074,0.0,1.8597467,0.033012446,0.0
26,80084,1.9960868,0.21038207,0.0,1.9960868,0.0343716,0.0,1.9960868,0.37817374,0.0
27,80085,1.9370322,0.099670894,0.0,1.9370322,0.2485933,0.0,1.9370322,0.50969154,0.0
28,80086,1.6883636,0.029437833,0.0,1.6883636,0.0,0.12862848,1.6883636,0.11425828,0.0
29,80087,1.2744229,0.017494058,0.0,1.2744229,0.042797104,0.0,1.2744229,0.14574778,0.0
30,80088,0.7357303,0.023152445,0.0,0.7357303,0.0,0.04271062,0.7357303,0.14720161,0.0
31,80089,0.12501791,0.0034098392,0.0,0.12501791,0.0,0.008650227,0.12501791,0.12221009,0.0
32,80090,-0.49793234,0.0,0.1039413,-0.49793234,0.20498608,0.0,-0.49793234,0.03159793,0.0
33,80091,-1.0721406,0.057660647,0.0,-1.0721406,0.21929404,0.0,-1.0721406,0.006832127,0.0
34,80092,-1.541398,0.18652368,0.0,-1.541398,0.41800457,0.0,-1.541398,0.0,0.035521097
35,80093,-1.8597698,0.0,0.014169391,-1.8597698,0.12982188,0.0,-1.8597698,0.23145795,0.0
36,80094,-1.9960908,0.10157286,0.0,-1.9960908,0.31427488,0.0,-1.9960908,0.05368474,0.0
37,80095,-1.9370165,0.0,0.019583726,-1.9370165,0.11453771,0.0,-1.9370165,0.0,0.12752877
38,80096,-1.6883298,0.025206408,0.0,-1.6883298,0.19624709,0.0,-1.6883298,0.0,0.27130613
39,80097,-1.2743745,0.0,0.055217516,-1.2743745,0.12454611,0.0,-1.2743745,0.0,0.07541743
40,80098,-0.7356719,0.0,0.11166479,-0.7356719,0.14668894,0.0,-0.7356719,0.051117126,0.0
41,80099,-0.1249552,0.0,0.13147618,-0.1249552,0.21507408,0.0,-0.1249552,0.0,0.006848506
42,80100,0.4979932,0.055183116,0.0,0.4979932,0.0,0.017988712,0.4979932,0.17563964,0.0
43,80101,-3.3175178,0.0,0.28236476,1.0721936,0.0,0.0015072217,1.0721936,0.04028616,0.0
44,80102,2.4533055,0.09447047,0.0,1.5414381,0.0,0.04379329,1.5414381,0.0,0.06197102
45,80103,3.7805083,0.2952222,0.0,1.859793,0.0,0.31661713,1.859793,0.0,0.11463107
46,80104,1.0749108,0.027546352,0.0,1.9960947,0.046210874,0.0,1.9960947,0.29089543,0.0
47,80105,-0.78283393,0.0,0.084564276,1.9370009,0.18481728,0.0,1.9370009,0.33816767,0.0
48,80106,5.086924,0.14807004,0.0,1.6882962,0.0,0.06347759,1.6882962,0.24949417,0.0
49,80107,3.6084764,0.12477116,0.0,1.274326,0.0,0.01672849,1.274326,0.17098957,0.0
50,80108,0.73561347,0.0,0.0001831204,0.73561347,0.034064323,0.0,0.73561347,0.12061705,0.0
51,80109,0.124892496,0.0043175793,0.0,0.124892496,0.0020402037,0.0,0.124892496,0.14193927,0.0
52,80110,-0.49805406,0.0,0.11138896,-0.49805406,0.32598084,0.0,-0.49805406,0.06319259,0.0
53,80111,-1.0722467,0.025397718,0.0,-1.0722467,0.25116092,0.0,-1.0722467,0.074307896,0.0
54,80112,-1.5414782,0.045407634,0.0,-1.5414782,0.06058173,0.0,-1.5414782,0.0,0.037380148
55,80113,-1.8598161,0.03506084,0.0,-1.8598161,0.01817085,0.0,-1.8598161,0.0,0.316776
56,80114,-1.9960986,0.0017240834,0.0,-1.9960986,0.26327798,0.0,-1.9960986,0.13262536,0.0
57,80115,-1.9369853,0.0,0.038387146,-1.9369853,0.16479525,0.0,-1.9369853,0.0,0.0755429
58,80116,-1.6882625,0.0,0.07052494,-1.6882625,0.0,0.17719208,-1.6882625,0.0,0.41615567
59,80117,-1.2742776,0.0,0.1350128,-1.2742776,0.0,0.347173,-1.2742776,0.0,0.41825092
60,80118,-0.735555,0.0,0.12838508,-0.735555,0.09727296,0.0,-0.735555,0.0,0.11482435
61,80119,-0.124829784,0.0,0.11809464,-0.124829784,0.20757565,0.0,-0.124829784,0.0,0.019520503
62,80120,0.4981149,0.0,0.0031146847,0.4981149,0.0,0.016005836,0.4981149,0.11145775,0.0
63,80121,1.0722997,0.034681823,0.0,1.0722997,0.0,0.19467172,1.0722997,0.0,0.108101636
64,80122,1.5415182,0.0,0.05481393,1.5415182,0.0,0.25480533,1.5415182,0.0,0.07905854
65,80123,1.8598392,0.0,0.17531861,1.8598392,0.0,0.30683836,1.8598392,0.0,0.47891912
66,80124,1.9961026,0.0,0.06726939,-3.0038974,0.4521688,0.0,1.9961026,0.3022836,0.0
67,80125,1.9369696,0.0,0.12223434,1.9369696,0.80192745,0.0,1.9369696,1.0,0.0
68,80126,1.6882288,0.0,0.07202168,1.6882288,0.27102277,0.0,1.6882288,0.48842764,0.0
69,80127,1.2742292,0.0,0.00096441223,1.2742292,0.22157437,0.0,1.2742292,0.21114404,0.0
70,80128,0.7354966,0.0,0.018380832,0.7354966,0.0,0.050632298,0.7354966,0.17443937,0.0
71,80129,0.12476707,0.0076815565,0.0,0.12476707,0.008845468,0.0,0.12476707,0.13404937,0.0
72,80130,-0.49817577,0.0,0.06840513,-0.49817577,0.2659501,0.0,-0.49817577,0.12839754,0.0
73,80131,-1.0723528,0.0,0.02751687,-1.0723528,0.409203,0.0,-1.0723528,0.06818696,0.0
74,80132,-1.5415583,0.062270105,0.0,-1.5415583,0.35088816,0.0,-1.5415583,0.0,0.12670293
75,80133,-1.8598623,0.081872836,0.0,-1.8598623,0.05973361,0.0,-1.8598623,0.11536847,0.0
76,80134,-1.9961065,0.17290235,0.0,-1.9961065,0.5312637,0.0,-1.9961065,0.15654337,0.0
