,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.022649159882685486,-0.7359056,0.0,0.005356426801341255,-0.7359056,0.0,0.0028410003911153413
1,80059,-0.12520604,0.0,0.003866075709784181,-0.12520604,0.0,0.0010891671648336205,-0.12520604,0.0,0.0003250658716752174
2,80060,0.49774978,0.008288626757310786,0.0,0.49774978,0.007990543047830813,0.0,0.49774978,0.004248027196778168,0.0
3,80061,1.0719814,0.0,0.003959529722012541,1.0719814,0.001904398828527228,0.0,1.0719814,0.0,0.0025167243050494125
4,80062,1.541278,0.0,0.0013864812273315648,1.541278,0.0,0.007362233732258495,1.541278,0.0,0.004246135276174465
5,80063,1.8597006,0.0,0.006487970836937237,1.8597006,0.0026779103491270224,0.0,1.8597006,0.00433209117591526,0.0
6,80064,1.996079,0.0,0.0030359590001640744,-3.003921,0.0,0.0038401810009346185,1.996079,0.002293931680235039,0.0
7,80065,1.9370635,0.0,0.003913163675340639,1.9370635,0.004339221435963289,0.0,1.9370635,0.01701737325134664,0.0
8,80066,1.6884309,0.0,0.003974511403173712,1.6884309,0.01311759320136048,0.0,1.6884309,0.0059027159816503316,0.0
9,80067,1.2745197,0.0001170764460656571,0.0,1.2745197,0.015429430454016227,0.0,1.2745197,0.0073435900559466975,0.0
10,80068,0.7358472,0.010648176298455218,0.0,0.7358472,0.00918326973885384,0.0,0.7358472,0.0,0.002651762921919217
11,80069,0.12514333,0.0021882725031952,0.0,0.12514333,0.0005390647661269653,0.0,0.12514333,0.0006602235789999864,0.0
12,80070,-0.49781063,0.0,0.003154284175531425,-0.49781063,0.0,0.002073701722760187,-0.49781063,0.0,0.0048040880477173255
13,80071,-1.0720345,0.011969127055939081,0.0,-1.0720345,0.0,0.0024633180275331792,-1.0720345,0.0,0.010026159540345622
14,80072,-1.541318,0.049790532469775745,0.0,-1.541318,0.002505956542340485,0.0,-1.541318,0.0,0.002527850205774375
15,80073,-1.8597236,0.055462840567792916,0.0,-1.8597236,0.0,0.0010294600801247376,-1.8597236,0.01779287825224848,0.0
16,80074,-1.9960829,0.047936149137853316,0.0,-1.9960829,0.0,0.010140315775716727,-1.9960829,0.008808272073060052,0.0
17,80075,-1.9370478,0.018718986272073287,0.0,-1.9370478,0.004958300672523784,0.0,-1.9370478,0.00022718746379082888,0.0
18,80076,-1.6883973,0.0,0.01282414420358062,-1.6883973,0.0,0.0017586709990703084,-1.6883973,0.0,0.005939970615982482
19,80077,-1.2744713,0.0,0.030662485921125335,-1.2744713,0.006567998829558247,0.0,-1.2744713,0.0,0.010107152004295373
20,80078,-0.7357887,0.0,0.021232787829819688,-0.7357887,0.0,0.00398657534696011,-0.7357887,0.004777361122619468,0.0
21,80079,-0.12508062,0.0,0.004085463988313932,-0.12508062,0.0,0.0006553194747867449,-0.12508062,0.0,0.0004289106454638751
22,80080,0.4978715,0.0058675770947871015,0.0,0.4978715,0.0035201221827787523,0.0,0.4978715,0.004973720279962175,0.0
23,80081,1.0720875,0.0012878626019797769,0.0,1.0720875,0.007026920194666501,0.0,1.0720875,0.0,0.0068084239803500165
24,80082,1.5413581,0.0,0.008263248991444485,1.5413581,0.005581252357657762,0.0,1.5413581,0.0017485835096404522,0.0
