,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,8.097510801361391e-08,-0.7359056,3.1608905248011487e-08,0.0,-0.7359056,5.267205239638338e-08,0.0
1,80059,-0.12520604,1.5657638445441727e-08,0.0,-0.12520604,1.7796317124290827e-08,0.0,-0.12520604,1.2242745761361913e-08,0.0
2,80060,0.49774978,0.0,3.345367133943322e-08,0.49774978,0.0,1.058006505189828e-07,0.49774978,0.0,7.06861739682942e-08
3,80061,1.0719814,0.0,1.2926446142804187e-08,1.0719814,5.7813151541147944e-08,0.0,1.0719814,7.427601338274834e-08,0.0
4,80062,1.541278,0.0,1.624367553125774e-07,1.541278,1.2998137709250256e-07,0.0,1.541278,0.0,4.4841994768873316e-08
5,80063,1.8597006,0.0,1.4904983821062677e-08,1.8597006,1.0467936795386595e-07,0.0,1.8597006,2.1224006942497081e-07,0.0
6,80064,1.996079,1.4908623481325112e-07,0.0,-3.003921,0.0,9.730725502236682e-07,1.996079,7.794721596850416e-07,0.0
7,80065,1.9370635,0.0,5.69048985035309e-08,1.9370635,3.6247747900436234e-07,0.0,1.9370635,0.0,1.1458542141303673e-07
8,80066,1.6884309,0.0,9.407638634838822e-08,1.6884309,1.6177645133516273e-07,0.0,1.6884309,0.0,1.636949194487103e-07
9,80067,1.2745197,0.0,1.0405596007508747e-07,1.2745197,0.0,1.704230175192142e-07,1.2745197,2.2194538490665944e-07,0.0
10,80068,0.7358472,0.0,1.1738563525663825e-07,0.7358472,1.328865435282929e-08,0.0,0.7358472,1.2120016588731224e-07,0.0
11,80069,0.12514333,0.0,2.7400785038339485e-09,0.12514333,4.097652657320656e-09,0.0,0.12514333,0.0,2.6518549545469023e-09
12,80070,-0.49781063,8.977460840595897e-08,0.0,-0.49781063,0.0,6.934536305554352e-08,-0.49781063,0.0,1.2463152800156302e-07
13,80071,-1.0720345,0.0,1.0266035775295256e-08,-1.0720345,0.0,4.672751011675773e-07,-1.0720345,9.713986637898548e-08,0.0
14,80072,-1.541318,0.0,8.117586741491667e-08,-1.541318,0.0,4.626069131678436e-07,-1.541318,1.8512181111387258e-07,0.0
15,80073,-1.8597236,0.0,8.770035646953604e-07,-1.8597236,0.0,4.3701845708966367e-07,-1.8597236,0.0,9.065695467298947e-08
16,80074,-1.9960829,0.0,1.145904637968096e-06,-1.9960829,0.0,2.5193743378886957e-08,-1.9960829,0.0,5.705206665454208e-10
17,80075,-1.9370478,0.0,3.115128734584126e-07,-1.9370478,2.5169965302468134e-07,0.0,-1.9370478,0.0,3.9801863725014146e-08
18,80076,-1.6883973,1.5777662586975068e-07,0.0,-1.6883973,0.0,3.1063696252583697e-07,-1.6883973,0.0,4.2120681489416894e-07
19,80077,-1.2744713,0.0,1.4095907366114152e-07,-1.2744713,3.989047807033126e-08,0.0,-1.2744713,0.0,1.538236906427509e-07
20,80078,-0.7357887,0.0,1.4324293681387125e-07,-0.7357887,9.47902366818595e-09,0.0,-0.7357887,6.536941810706298e-08,0.0
21,80079,-0.12508062,1.8196943478482135e-08,0.0,-0.12508062,2.7729677989028982e-08,0.0,-0.12508062,1.6582975469888234e-08,0.0
22,80080,0.4978715,0.0,1.1224569799292937e-10,0.4978715,0.0,9.418947547482287e-08,0.4978715,0.0,4.7215703314453264e-08
23,80081,1.0720875,0.0,3.858027847095273e-09,1.0720875,3.141104599289789e-08,0.0,1.0720875,1.4710176979775442e-07,0.0
24,80082,1.5413581,0.0,7.66974160608707e-08,1.5413581,1.7144329360087979e-07,0.0,1.5413581,4.1387201685313274e-08,0.0
25,80083,1.8597467,2.297813102928552e-08,0.0,1.8597467,3.1823505581596445e-07,0.0,1.8597467,2.4156965972439475e-08,0.0
26,80084,1.9960868,1.9918862731823747e-07,0.0,1.9960868,5.052321162806345e-07,0.0,1.9960868,6.742462079032362e-07,0.0
27,80085,1.9370322,4.355547474064693e-09,0.0,1.9370322,5.626872304271978e-08,0.0,1.9370322,2.251206789894621e-08,0.0
28,80086,1.6883636,0.0,2.1711162803930073e-07,1.6883636,0.0,4.5920951840006837e-07,1.6883636,0.0,6.346884049971082e-08
29,80087,1.2744229,1.0,0.0,1.2744229,1.5947976198338258e-05,0.0,1.2744229,0.0,9.252282765335822e-08
30,80088,0.7357303,0.0,1.4094717887961808e-07,0.7357303,0.0,1.3531159659979266e-07,0.7357303,4.124115859544483e-08,0.0
