,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.012111319,-0.7359056,0.0008558035,0.0,-0.7359056,0.0,0.008094545
1,80059,-0.12520604,0.0,0.0039002155,-0.12520604,0.0,0.0023961873,-0.12520604,0.00039625887,0.0
2,80060,0.49774978,0.010548307,0.0,0.49774978,0.0022146476,0.0,0.49774978,0.001554804,0.0
3,80061,1.0719814,0.0,0.005603908,1.0719814,0.0,0.0066383667,1.0719814,0.0,0.0009762352
4,80062,1.541278,0.0056749606,0.0,1.541278,0.0,0.001607755,1.541278,0.0016797801,0.0
5,80063,1.8597006,0.0,0.0035379324,1.8597006,0.00776149,0.0,1.8597006,0.0009362531,0.0
6,80064,1.996079,0.00514384,0.0,-3.003921,0.0023096865,0.0,1.996079,0.0,0.006300109
7,80065,1.9370635,0.0,0.0067033647,1.9370635,0.031860832,0.0,1.9370635,0.024954392,0.0
8,80066,1.6884309,0.0,0.006986138,1.6884309,0.016612737,0.0,1.6884309,0.012614563,0.0
9,80067,1.2745197,0.0,0.0047466955,1.2745197,0.01644989,0.0,1.2745197,0.0,0.00013528574
10,80068,0.7358472,0.0238906,0.0,0.7358472,0.017062549,0.0,0.7358472,0.0006715989,0.0
11,80069,0.12514333,0.005774094,0.0,0.12514333,0.00013263576,0.0,0.12514333,0.0,7.636845e-05
12,80070,-0.49781063,0.0,0.022424642,-0.49781063,0.0,0.004139228,-0.49781063,0.0,0.0045684623
13,80071,-1.0720345,0.0,0.02303008,-1.0720345,0.0062922696,0.0,-1.0720345,0.0,0.00785795
14,80072,-1.541318,0.029605323,0.0,-1.541318,0.010229743,0.0,-1.541318,0.011392687,0.0
15,80073,-1.8597236,0.0498825,0.0,-1.8597236,0.01368626,0.0,-1.8597236,0.057904832,0.0
16,80074,-1.9960829,0.114285484,0.0,-1.9960829,0.000103452374,0.0,-1.9960829,0.015972145,0.0
17,80075,-1.9370478,0.09453231,0.0,-1.9370478,0.029302487,0.0,-1.9370478,0.0047731707,0.0
18,80076,-1.6883973,0.052897695,0.0,-1.6883973,0.015740827,0.0,-1.6883973,0.0,0.013500352
19,80077,-1.2744713,0.01326983,0.0,-1.2744713,0.009584949,0.0,-1.2744713,0.0,0.0037983789
20,80078,-0.7357887,0.0,0.016967734,-0.7357887,0.0,0.0067966743,-0.7357887,0.0049623232,0.0
21,80079,-0.12508062,0.0,0.00444617,-0.12508062,0.0,0.002125924,-0.12508062,0.0,0.0009852505
22,80080,0.4978715,0.01028517,0.0,0.4978715,0.003103279,0.0,0.4978715,0.0029340927,0.0
23,80081,1.0720875,0.0022021488,0.0,1.0720875,0.007863627,0.0,1.0720875,0.0,0.00919979
24,80082,1.5413581,0.0,0.00074973475,1.5413581,0.0032804445,0.0,1.5413581,0.0,0.008641047
25,80083,1.8597467,0.0,0.0003848543,1.8597467,0.006697371,0.0,1.8597467,0.0013645812,0.0
26,80084,1.9960868,0.0057386947,0.0,1.9960868,0.0,0.007382522,1.9960868,0.0,0.004719684
27,80085,1.9370322,0.0073537715,0.0,1.9370322,0.024415653,0.0,1.9370322,0.029336091,0.0
28,80086,1.6883636,0.0,0.0003042783,1.6883636,0.0067394865,0.0,1.6883636,0.027264757,0.0
29,80087,1.2744229,0.38126677,0.0,1.2744229,0.0,0.12633383,1.2744229,0.015616025,0.0
30,80088,0.7357303,0.02043701,0.0,0.7357303,0.0,0.010207932,0.7357303,0.0055700876,0.0
31,80089,0.12501791,0.005200783,0.0,0.12501791,0.0,0.00039820952,0.12501791,0.00016456014,0.0
32,80090,-0.49793234,0.0,0.022446861,-0.49793234,0.0,0.0020943603,-0.49793234,0.0,0.0004895856
33,80091,-1.0721406,0.0,0.008412341,-1.0721406,0.011406764,0.0,-1.0721406,0.0,0.0044732485
34,80092,-1.541398,0.03710778,0.0,-1.541398,0.0,0.008758401,-1.541398,0.0075706756,0.0
35,80093,-1.8597698,0.069638625,0.0,-1.8597698,0.0,0.0011814972,-1.8597698,0.032028563,0.0
36,80094,-1.9960908,0.12469044,0.0,-1.9960908,0.030228877,0.0,-1.9960908,0.012697315,0.0
37,80095,-1.9370165,0.124254234,0.0,-1.9370165,0.03088661,0.0,-1.9370165,0.006282973,0.0
38,80096,-1.6883298,0.070389874,0.0,-1.6883298,0.0,0.0111739,-1.6883298,0.0,0.0168447
39,80097,-1.2743745,0.004014884,0.0,-1.2743745,0.0,0.006078812,-1.2743745,0.0,0.14739983
40,80098,-0.7356719,0.0,0.025739731,-0.7356719,0.0,0.0012100581,-0.7356719,0.0,0.007132745
41,80099,-0.1249552,0.0,0.0047295038,-0.1249552,0.0,0.0006964023,-0.1249552,0.0,0.0012515578
42,80100,0.4979932,0.019685214,0.0,0.4979932,0.0,0.0044886866,0.4979932,0.0,0.0018011444
43,80101,-3.3175178,0.0,0.0023010992,1.0721936,0.0,0.0025221782,1.0721936,0.0,0.0022578891
44,80102,2.4533055,0.006271091,0.0,1.5414381,0.0,0.009886768,1.5414381,0.0045086644,0.0
45,80103,3.7805083,0.0,0.0010016753,1.859793,0.0019868093,0.0,1.859793,0.0,0.013424139
46,80104,1.0749108,0.00514286,0.0,1.9960947,0.0,0.006298006,1.9960947,0.0,0.009565905
47,80105,-0.78283393,0.0,0.0003888875,1.9370009,0.023252262,0.0,1.9370009,0.021284815,0.0
48,80106,5.086924,0.0,0.0030238805,1.6882962,0.015649823,0.0,1.6882962,0.018214619,0.0
49,80107,3.6084764,0.00037798623,0.0,1.274326,0.0,0.008850077,1.274326,0.003993519,0.0
50,80108,0.73561347,0.028568275,0.0,0.73561347,0.0,0.0023169615,0.73561347,0.0025784606,0.0
51,80109,0.124892496,0.0067503597,0.0,0.124892496,0.0008251353,0.0,0.124892496,0.0,0.0005672187
52,80110,-0.49805406,0.0,0.017241681,-0.49805406,0.0,0.01102207,-0.49805406,0.0,0.0065411255
53,80111,-1.0722467,0.0,0.0089588305,-1.0722467,0.0,0.010829075,-1.0722467,0.0,0.013501669
54,80112,-1.5414782,0.021947721,0.0,-1.5414782,0.00065169076,0.0,-1.5414782,0.0,0.017220525
55,80113,-1.8598161,0.091914505,0.0,-1.8598161,0.0,0.00867844,-1.8598161,0.0,0.008116431
56,80114,-1.9960986,0.12486944,0.0,-1.9960986,0.0,0.021177307,-1.9960986,0.008432413,0.0
57,80115,-1.9369853,0.119627915,0.0,-1.9369853,0.0065201963,0.0,-1.9369853,0.02318271,0.0
58,80116,-1.6882625,0.057776496,0.0,-1.6882625,0.0,0.017544022,-1.6882625,0.0,0.0010801926
59,80117,-1.2742776,0.011149828,0.0,-1.2742776,0.0,0.02123649,-1.2742776,0.0,0.04427129
60,80118,-0.735555,0.0,0.019439016,-0.735555,0.0,0.020417986,-0.735555,0.0,0.017652074
61,80119,-0.124829784,0.0,0.004586073,-0.124829784,0.0,0.0027902483,-0.124829784,0.0,0.002401016
62,80120,0.4981149,0.012269484,0.0,0.4981149,0.0,0.005145772,0.4981149,0.0,0.004588406
63,80121,1.0722997,0.001807322,0.0,1.0722997,0.0,0.037888903,1.0722997,0.0,0.049736872
64,80122,1.5415182,0.00526708,0.0,1.5415182,0.0,0.032670695,1.5415182,0.0,0.03114048
65,80123,1.8598392,0.0,0.00035170937,1.8598392,0.0,0.011146151,1.8598392,0.0,0.011338978
66,80124,1.9961026,0.0073352703,0.0,-3.0038974,0.008275766,0.0,1.9961026,0.0,0.011995919
67,80125,1.9369696,0.0,0.004345568,1.9369696,0.057617202,0.0,1.9369696,0.043603048,0.0
68,80126,1.6882288,0.0,0.0012424664,1.6882288,0.014103983,0.0,1.6882288,0.025408158,0.0
69,80127,1.2742292,0.0037850363,0.0,1.2742292,0.0059805396,0.0,1.2742292,0.008192917,0.0
70,80128,0.7354966,0.023591092,0.0,0.7354966,0.0,0.0011123671,0.7354966,0.008151367,0.0
71,80129,0.12476707,0.0057744905,0.0,0.12476707,0.0002167392,0.0,0.12476707,0.0007949193,0.0
72,80130,-0.49817577,0.0,0.022823267,-0.49817577,0.0,0.004469287,-0.49817577,0.00017942602,0.0
73,80131,-1.0723528,0.0,0.01552647,-1.0723528,0.015351188,0.0,-1.0723528,0.0,0.0050001605
74,80132,-1.5415583,0.03511958,0.0,-1.5415583,0.0,0.009526353,-1.5415583,0.011665149,0.0
75,80133,-1.8598623,0.07897304,0.0,-1.8598623,0.01559725,0.0,-1.8598623,0.027204704,0.0
76,80134,-1.9961065,0.11993387,0.0,-1.9961065,0.056287933,0.0,-1.9961065,0.0,0.0024290208
77,80135,-1.9369539,0.12732695,0.0,-1.9369539,0.015569414,0.0,-1.9369539,0.051561814,0.0
78,80136,-1.6881951,0.06679195,0.0,-1.6881951,0.0030935681,0.0,-1.6881951,0.001407151,0.0
79,80137,-1.2741808,0.005467577,0.0,-1.2741808,0.0,0.045002066,-1.2741808,0.0,0.023974052
80,80138,-0.73543817,0.0,0.019771965,-0.73543817,0.0,0.006602542,-0.73543817,0.0,0.022041257
81,80139,-0.12470436,0.03410189,0.0,-0.12470436,0.0,0.012505165,-0.12470436,6.740834e-05,0.0
82,80140,0.49823663,0.011931164,0.0,0.49823663,0.0,0.011821301,0.49823663,0.0,0.014351691
83,80141,1.0724057,0.0,0.0017837586,1.0724057,0.0,0.037344497,1.0724057,0.0,0.03825662
84,80142,1.5415982,0.00010228805,0.0,1.5415982,0.0,0.034038562,1.5415982,0.0,0.033091906
85,80143,1.8598853,0.008774756,0.0,1.8598853,0.0,0.025595492,1.8598853,0.0,0.014192972
86,80144,1.9961103,0.007960629,0.0,1.9961103,0.0,0.02126043,-3.0038896,0.023496004,0.0
87,80145,1.9369383,0.0,0.0029484774,1.9369383,0.03776182,0.0,1.9369383,0.020543119,0.0
88,80146,1.6881615,0.0010047974,0.0,1.6881615,0.0,0.0034051193,1.6881615,0.0,0.0116978
89,80147,1.2741323,0.00040351934,0.0,1.2741323,0.004294627,0.0,1.2741323,0.003924016,0.0
90,80148,0.73537976,0.024612583,0.0,0.73537976,0.0,0.0051283683,0.73537976,0.00074715755,0.0
91,80149,0.12464165,0.006299539,0.0,0.12464165,0.0,0.002030669,0.12464165,0.0,0.012850903
