,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,1.0379738e-08,-0.7359056,0.0,5.292597e-08,-0.7359056,0.0,1.2453254e-08
1,80059,-0.12520604,1.6046299e-08,0.0,-0.12520604,4.0762216e-10,0.0,-0.12520604,1.8570318e-09,0.0
2,80060,0.49774978,0.0,4.18795e-08,0.49774978,0.0,2.3368003e-09,0.49774978,0.0,1.7526823e-08
3,80061,1.0719814,0.0,4.462924e-09,1.0719814,1.0127334e-07,0.0,1.0719814,1.5887789e-08,0.0
4,80062,1.541278,0.0,7.105703e-08,1.541278,1.3759539e-07,0.0,1.541278,0.0,2.7806019e-08
5,80063,1.8597006,5.4131522e-08,0.0,1.8597006,6.4222e-08,0.0,1.8597006,1.3622063e-07,0.0
6,80064,1.996079,0.0,9.611699e-08,-3.003921,0.0,5.551066e-07,1.996079,3.7352373e-07,0.0
7,80065,1.9370635,0.0,6.6898416e-08,1.9370635,2.2941533e-07,0.0,1.9370635,0.0,2.977874e-09
8,80066,1.6884309,0.0,9.27193e-09,1.6884309,8.27405e-10,0.0,1.6884309,0.0,1.4393941e-08
9,80067,1.2745197,0.0,2.5602668e-08,1.2745197,2.3347269e-08,0.0,1.2745197,1.7973345e-07,0.0
10,80068,0.7358472,0.0,1.0747614e-07,0.7358472,7.181267e-10,0.0,0.7358472,8.924677e-08,0.0
11,80069,0.12514333,0.0,1.9566404e-08,0.12514333,8.573581e-09,0.0,0.12514333,2.9021439e-09,0.0
12,80070,-0.49781063,1.176159e-07,0.0,-0.49781063,6.4325136e-09,0.0,-0.49781063,0.0,4.0130093e-08
13,80071,-1.0720345,9.974527e-08,0.0,-1.0720345,0.0,2.3805501e-07,-1.0720345,2.3783189e-08,0.0
14,80072,-1.541318,0.0,3.925488e-08,-1.541318,0.0,1.509961e-07,-1.541318,1.04952825e-07,0.0
15,80073,-1.8597236,0.0,5.7497357e-07,-1.8597236,0.0,2.4922238e-07,-1.8597236,0.0,1.6069279e-07
16,80074,-1.9960829,0.0,9.4308655e-07,-1.9960829,0.0,1.6001883e-07,-1.9960829,6.433621e-08,0.0
17,80075,-1.9370478,0.0,5.16184e-07,-1.9370478,0.0,1.4321408e-07,-1.9370478,0.0,6.789033e-08
18,80076,-1.6883973,0.0,1.709476e-07,-1.6883973,0.0,1.0313986e-07,-1.6883973,0.0,6.491211e-08
19,80077,-1.2744713,0.0,1.7830472e-07,-1.2744713,0.0,5.6725145e-08,-1.2744713,0.0,9.284249e-08
20,80078,-0.7357887,0.0,4.9209994e-08,-0.7357887,0.0,3.4839747e-08,-0.7357887,0.0,9.578601e-08
21,80079,-0.12508062,1.6108277e-08,0.0,-0.12508062,8.5865e-09,0.0,-0.12508062,0.0,7.197046e-09
22,80080,0.4978715,0.0,2.301643e-08,0.4978715,0.0,4.784053e-08,0.4978715,2.9745342e-08,0.0
23,80081,1.0720875,0.0,4.234704e-08,1.0720875,1.6730754e-08,0.0,1.0720875,1.3212761e-07,0.0
24,80082,1.5413581,0.0,5.6033386e-08,1.5413581,8.326141e-08,0.0,1.5413581,2.7778444e-08,0.0
25,80083,1.8597467,3.4115615e-08,0.0,1.8597467,6.4092966e-08,0.0,1.8597467,0.0,7.182439e-09
26,80084,1.9960868,6.303842e-08,0.0,1.9960868,3.4439552e-07,0.0,1.9960868,4.1617434e-07,0.0
27,80085,1.9370322,2.1795705e-09,0.0,1.9370322,1.5137735e-07,0.0,1.9370322,1.4978883e-07,0.0
28,80086,1.6883636,0.0,7.9513136e-08,1.6883636,0.0,1.09596954e-07,1.6883636,2.3107724e-08,0.0
29,80087,1.2744229,1.0,0.0,1.2744229,8.313983e-06,0.0,1.2744229,3.315163e-08,0.0
30,80088,0.7357303,0.0,1.157947e-07,0.7357303,0.0,8.727963e-10,0.7357303,3.1333627e-08,0.0
31,80089,0.12501791,0.0,1.6176571e-08,0.12501791,0.0,1.4960635e-09,0.12501791,4.242491e-10,0.0
32,80090,-0.49793234,9.391244e-08,0.0,-0.49793234,0.0,5.722781e-08,-0.49793234,0.0,3.2362554e-08
33,80091,-1.0721406,5.9776674e-08,0.0,-1.0721406,0.0,1.2391523e-07,-1.0721406,0.0,8.3397474e-08
34,80092,-1.541398,0.0,5.999192e-08,-1.541398,0.0,2.5959508e-08,-1.541398,0.0,2.1820742e-07
35,80093,-1.8597698,0.0,5.0387393e-07,-1.8597698,0.0,1.2029935e-07,-1.8597698,0.0,9.4327305e-08
36,80094,-1.9960908,0.0,6.490626e-07,-1.9960908,0.0,1.3540907e-07,-1.9960908,0.0,2.4212204e-07
37,80095,-1.9370165,0.0,4.0605235e-07,-1.9370165,0.0,3.8618145e-07,-1.9370165,0.0,1.8048762e-07
38,80096,-1.6883298,0.0,2.5597322e-07,-1.6883298,0.0,5.2532677e-08,-1.6883298,0.0,7.997423e-08
39,80097,-1.2743745,7.236431e-08,0.0,-1.2743745,1.566999e-08,0.0,-1.2743745,5.5814226e-06,0.0
40,80098,-0.7356719,1.414266e-07,0.0,-0.7356719,0.0,1.0182617e-07,-0.7356719,4.6564647e-08,0.0
41,80099,-0.1249552,1.2446575e-08,0.0,-0.1249552,0.0,3.511342e-09,-0.1249552,5.4369176e-09,0.0
42,80100,0.4979932,0.0,7.5161005e-08,0.4979932,8.0127044e-10,0.0,0.4979932,4.075416e-08,0.0
43,80101,-3.3175178,2.746199e-07,0.0,1.0721936,2.1412141e-08,0.0,1.0721936,0.0,8.826219e-08
44,80102,2.4533055,0.0,1.04527935e-07,1.5414381,1.8835156e-08,0.0,1.5414381,0.0,1.04149514e-07
45,80103,3.7805083,6.0566194e-08,0.0,1.859793,0.0,1.3290712e-07,1.859793,0.0,6.7161906e-08
46,80104,1.0749108,0.0,5.575077e-08,1.9960947,2.8760232e-07,0.0,1.9960947,2.2389348e-07,0.0
47,80105,-0.78283393,7.242911e-08,0.0,1.9370009,5.196266e-08,0.0,1.9370009,3.8416704e-08,0.0
