,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.05290545,-0.7359056,0.0,0.0,-0.7359056,0.0,0.0
1,80059,-0.12520604,0.048416365,0.0,-0.12520604,0.07696038,0.0,-0.12520604,0.023033602,0.0
2,80060,0.49774978,0.09086988,0.0,0.49774978,0.0,0.041123375,0.49774978,0.0,0.0
3,80061,1.0719814,0.0,0.049600963,1.0719814,0.0,0.0,1.0719814,0.0,0.0
4,80062,1.541278,0.0,0.05806114,1.541278,0.0,0.0,1.541278,0.0,0.056493204
5,80063,1.8597006,0.0,0.0,1.8597006,0.0,0.0,1.8597006,0.07555446,0.0
6,80064,1.996079,0.0,0.0,-3.003921,0.0,0.0,1.996079,0.06156351,0.0
7,80065,1.9370635,0.040947504,0.0,1.9370635,0.0,0.0,1.9370635,0.0,0.0
8,80066,1.6884309,0.0,0.0,1.6884309,0.0021883235,0.0,1.6884309,0.0,0.0
9,80067,1.2745197,0.0,0.0,1.2745197,0.0,0.0,1.2745197,0.0,0.0
10,80068,0.7358472,0.0,0.0003564437,0.7358472,0.005392797,0.0,0.7358472,0.0,0.0
11,80069,0.12514333,0.0,0.0,0.12514333,0.06655568,0.0,0.12514333,0.0,0.0
12,80070,-0.49781063,0.0,0.068181805,-0.49781063,0.0,0.0,-0.49781063,0.0,0.0
13,80071,-1.0720345,0.0,0.032511726,-1.0720345,0.0,0.0,-1.0720345,0.0,0.0
14,80072,-1.541318,0.0,0.0,-1.541318,0.0,0.0,-1.541318,0.010033127,0.0
15,80073,-1.8597236,0.0,0.0,-1.8597236,0.0,0.0,-1.8597236,0.0,0.0
16,80074,-1.9960829,0.0,0.0,-1.9960829,0.0,0.0,-1.9960829,0.0,0.0
17,80075,-1.9370478,0.05731747,0.0,-1.9370478,0.0,0.0,-1.9370478,0.0006855937,0.0
18,80076,-1.6883973,0.0,0.0,-1.6883973,0.0,0.0,-1.6883973,0.07024302,0.0
19,80077,-1.2744713,0.026425395,0.0,-1.2744713,0.0,0.0,-1.2744713,0.0,0.0
20,80078,-0.7357887,0.0,0.0,-0.7357887,0.0,0.0,-0.7357887,0.0,0.0
21,80079,-0.12508062,0.0,0.097383164,-0.12508062,0.0,0.0,-0.12508062,0.0,0.0
22,80080,0.4978715,0.0,0.0,0.4978715,0.0,0.0,0.4978715,0.0,0.0
23,80081,1.0720875,0.0,0.0,1.0720875,0.046497185,0.0,1.0720875,0.0038020385,0.0
24,80082,1.5413581,0.0,0.059827637,1.5413581,0.0,0.0,1.5413581,0.009050408,0.0
25,80083,1.8597467,0.037591796,0.0,1.8597467,0.0,0.0,1.8597467,0.0,0.0
26,80084,1.9960868,0.0,0.0,1.9960868,0.0,0.024106212,1.9960868,0.0,0.0
27,80085,1.9370322,0.0,0.0,1.9370322,0.030433873,0.0,1.9370322,0.0,0.0
28,80086,1.6883636,0.0,0.0,1.6883636,0.0014423146,0.0,1.6883636,0.0499481,0.0
29,80087,1.2744229,0.0,0.0,1.2744229,0.026144309,0.0,1.2744229,0.0,0.0
30,80088,0.7357303,0.0,0.0,0.7357303,0.0,0.0,0.7357303,0.0,0.0
31,80089,0.12501791,0.0,0.0,0.12501791,0.0,0.0,0.12501791,0.0,0.0
32,80090,-0.49793234,0.0,0.101003684,-0.49793234,0.0,0.0,-0.49793234,0.010033165,0.0
33,80091,-1.0721406,0.0,0.0,-1.0721406,0.0,0.0,-1.0721406,0.0,0.0
34,80092,-1.541398,0.0,0.0,-1.541398,0.036018435,0.0,-1.541398,0.0,0.0
35,80093,-1.8597698,0.0,0.0046316613,-1.8597698,0.0,0.015795795,-1.8597698,0.0,0.0
36,80094,-1.9960908,0.026901314,0.0,-1.9960908,0.027468923,0.0,-1.9960908,0.0,0.0
37,80095,-1.9370165,0.0,0.0,-1.9370165,0.10156011,0.0,-1.9370165,0.0,0.0
38,80096,-1.6883298,0.0,0.0,-1.6883298,0.0,0.0,-1.6883298,0.0,0.0
39,80097,-1.2743745,0.0,0.0,-1.2743745,0.0,0.0,-1.2743745,0.0,0.011331392
40,80098,-0.7356719,0.0,0.0,-0.7356719,0.0,0.0,-0.7356719,0.0,0.018720916
41,80099,-0.1249552,0.0,0.16131842,-0.1249552,0.0,0.00096830394,-0.1249552,0.0,0.0
42,80100,0.4979932,0.0,0.0,0.4979932,0.0,0.0,0.4979932,0.017060861,0.0
43,80101,-3.3175178,0.0,0.029748326,1.0721936,0.0,0.0,1.0721936,0.058765344,0.0
44,80102,2.4533055,0.0,0.0,1.5414381,0.0,0.0,1.5414381,0.10051183,0.0
45,80103,3.7805083,0.0,0.0,1.859793,0.0,0.0,1.859793,0.0,0.0
46,80104,1.0749108,0.0,0.0,1.9960947,0.0,0.0,1.9960947,0.0,0.0
47,80105,-0.78283393,0.0,0.0,1.9370009,0.043133788,0.0,1.9370009,0.0,0.0
48,80106,5.086924,0.11965058,0.0,1.6882962,0.0,0.0,1.6882962,0.0,0.0
49,80107,3.6084764,0.0007431821,0.0,1.274326,0.0,0.016393775,1.274326,0.0,0.057648864
