,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.22938313,-0.7359056,0.4326471,0.0,-0.7359056,0.0,0.0
1,80059,-0.12520604,0.16526158,0.0,-0.12520604,0.0,0.0055186404,-0.12520604,0.2602722,0.0
2,80060,0.49774978,0.44048837,0.0,0.49774978,0.0,0.0,0.49774978,0.0,0.25303206
3,80061,1.0719814,0.0,0.0,1.0719814,0.0,0.0,1.0719814,0.19152957,0.0
4,80062,1.541278,0.0,0.0,1.541278,0.0,0.0,1.541278,0.0,0.0
5,80063,1.8597006,0.043869022,0.0,1.8597006,0.0,0.0,1.8597006,0.0,0.0
6,80064,1.996079,0.13154534,0.0,-3.003921,0.0,0.0,1.996079,0.0,0.0
7,80065,1.9370635,0.33697286,0.0,1.9370635,0.0,0.0,1.9370635,0.0,0.0
8,80066,1.6884309,0.0,0.0,1.6884309,0.08797189,0.0,1.6884309,0.3649049,0.0
9,80067,1.2745197,0.0,0.0,1.2745197,0.0,0.0,1.2745197,0.06720509,0.0
10,80068,0.7358472,0.0,0.045693092,0.7358472,0.0,0.0,0.7358472,0.0,0.10110193
11,80069,0.12514333,0.0,0.0,0.12514333,0.0,0.28656188,0.12514333,0.0,0.4637598
12,80070,-0.49781063,0.0,0.081021816,-0.49781063,0.008595455,0.0,-0.49781063,0.0,0.0
13,80071,-1.0720345,0.0,0.0045191175,-1.0720345,0.4258238,0.0,-1.0720345,0.0,0.0
14,80072,-1.541318,0.064344585,0.0,-1.541318,0.0,0.23952296,-1.541318,0.0,0.0
15,80073,-1.8597236,0.081322335,0.0,-1.8597236,0.0,0.5451244,-1.8597236,0.0,0.0
16,80074,-1.9960829,0.0,0.0,-1.9960829,0.13525283,0.0,-1.9960829,0.00083577464,0.0
17,80075,-1.9370478,0.0,0.0,-1.9370478,0.0,0.108216114,-1.9370478,0.3073223,0.0
18,80076,-1.6883973,0.0,0.0,-1.6883973,0.0,0.1619841,-1.6883973,0.0,0.0
19,80077,-1.2744713,0.0,0.0,-1.2744713,0.0,0.0,-1.2744713,0.32640505,0.0
20,80078,-0.7357887,0.0,0.20348272,-0.7357887,0.0,0.030317035,-0.7357887,0.074452,0.0
21,80079,-0.12508062,0.0,0.12847938,-0.12508062,0.0,0.20350462,-0.12508062,0.24375342,0.0
22,80080,0.4978715,0.0,0.20977351,0.4978715,0.0,0.1861242,0.4978715,0.0,0.02573756
23,80081,1.0720875,0.0,0.15891328,1.0720875,0.13659367,0.0,1.0720875,0.19455425,0.0
24,80082,1.5413581,0.0,0.0,1.5413581,0.31440482,0.0,1.5413581,0.2996833,0.0
25,80083,1.8597467,0.0,0.0,1.8597467,0.2445251,0.0,1.8597467,0.0,0.0
26,80084,1.9960868,0.0,0.33021337,1.9960868,0.0,0.11329407,1.9960868,0.0,0.17791314
27,80085,1.9370322,0.0,0.0,1.9370322,0.0,0.0,1.9370322,0.0,0.5737563
28,80086,1.6883636,0.0,0.0,1.6883636,0.0,0.60861456,1.6883636,0.0,0.0
29,80087,1.2744229,0.0,0.079543754,1.2744229,0.0,0.0,1.2744229,0.0,0.41024885
30,80088,0.7357303,0.19789872,0.0,0.7357303,0.2649859,0.0,0.7357303,0.11442108,0.0
31,80089,0.12501791,0.006109758,0.0,0.12501791,0.3987816,0.0,0.12501791,0.4898064,0.0
32,80090,-0.49793234,0.0,0.0,-0.49793234,0.0,0.0,-0.49793234,0.0,0.0
33,80091,-1.0721406,0.0,0.09142556,-1.0721406,0.0,0.034269445,-1.0721406,0.24207395,0.0
34,80092,-1.541398,0.0,0.19903238,-1.541398,0.0,0.0,-1.541398,0.0,0.10181091
35,80093,-1.8597698,0.61978716,0.0,-1.8597698,0.0,0.0,-1.8597698,0.13177855,0.0
36,80094,-1.9960908,0.4497997,0.0,-1.9960908,0.0,0.06666093,-1.9960908,0.0,0.0
37,80095,-1.9370165,0.0,0.20722364,-1.9370165,0.0684948,0.0,-1.9370165,0.14514291,0.0
38,80096,-1.6883298,0.003041903,0.0,-1.6883298,0.0,0.0,-1.6883298,0.0,0.0
39,80097,-1.2743745,0.19880103,0.0,-1.2743745,0.0,0.27168855,-1.2743745,0.63336265,0.0
40,80098,-0.7356719,0.0,0.29670835,-0.7356719,0.0,0.0,-0.7356719,0.13298786,0.0
41,80099,-0.1249552,0.0,0.03488031,-0.1249552,0.0,0.48500103,-0.1249552,0.0,0.0
42,80100,0.4979932,0.0,0.0,0.4979932,0.0,0.0,0.4979932,0.0,0.14733957
43,80101,-3.3175178,0.021047413,0.0,1.0721936,0.069914944,0.0,1.0721936,0.385692,0.0
44,80102,2.4533055,0.0,0.0,1.5414381,0.0,0.0,1.5414381,0.0,0.0
45,80103,3.7805083,0.67997557,0.0,1.859793,0.06765903,0.0,1.859793,0.15963933,0.0
46,80104,1.0749108,0.0,0.0,1.9960947,0.0,0.29132304,1.9960947,0.0,0.0
47,80105,-0.78283393,0.0,0.0,1.9370009,0.0,0.114985384,1.9370009,0.0,0.1397409
48,80106,5.086924,0.0078076622,0.0,1.6882962,0.0,0.0,1.6882962,0.031427678,0.0
49,80107,3.6084764,0.0,0.0,1.274326,0.52063835,0.0,1.274326,0.0,0.14496583
50,80108,0.73561347,0.0,0.0,0.73561347,0.0,0.0,0.73561347,0.7578063,0.0
51,80109,0.124892496,0.0,0.0,0.124892496,0.0,0.09552955,0.124892496,0.0,0.0
52,80110,-0.49805406,0.0,0.0,-0.49805406,0.0,0.066935115,-0.49805406,0.0,0.0
53,80111,-1.0722467,0.0,0.0,-1.0722467,0.0,0.0,-1.0722467,0.0,0.0
54,80112,-1.5414782,0.0,0.0,-1.5414782,0.0,0.021632493,-1.5414782,0.0,0.0063448064
55,80113,-1.8598161,0.0,0.37264764,-1.8598161,0.0,0.0,-1.8598161,0.2822922,0.0
56,80114,-1.9960986,0.0,0.0,-1.9960986,0.0,0.32536542,-1.9960986,0.0,0.0
57,80115,-1.9369853,0.0,0.0,-1.9369853,0.0,0.0,-1.9369853,0.06595625,0.0
58,80116,-1.6882625,0.19321078,0.0,-1.6882625,0.0,0.0,-1.6882625,0.0,0.0
59,80117,-1.2742776,0.20053245,0.0,-1.2742776,0.0,0.0,-1.2742776,0.0,0.0
60,80118,-0.735555,0.0,0.0,-0.735555,0.0,0.0,-0.735555,0.0,0.0
61,80119,-0.124829784,0.08537313,0.0,-0.124829784,0.17673294,0.0,-0.124829784,0.0,0.63645357
62,80120,0.4981149,0.0,0.13902259,0.4981149,0.0,0.0,0.4981149,0.11696611,0.0
63,80121,1.0722997,0.030318253,0.0,1.0722997,0.0,0.0,1.0722997,0.0,0.0
64,80122,1.5415182,0.1959124,0.0,1.5415182,0.0,0.0,1.5415182,0.7681196,0.0
65,80123,1.8598392,0.0,0.6020779,1.8598392,0.04409367,0.0,1.8598392,0.0,0.29082638
66,80124,1.9961026,0.41294092,0.0,-3.0038974,0.0,0.0,1.9961026,0.34085608,0.0
67,80125,1.9369696,0.0,0.0,1.9369696,0.0,0.1531243,1.9369696,0.09321821,0.0
68,80126,1.6882288,0.0,0.0,1.6882288,0.0,0.4123896,1.6882288,0.0,0.0
69,80127,1.2742292,0.0,0.25545004,1.2742292,0.60632133,0.0,1.2742292,0.0,0.0
70,80128,0.7354966,0.0,0.0,0.7354966,0.0,0.12597607,0.7354966,0.0,0.47491086
71,80129,0.12476707,0.0,0.34858525,0.12476707,0.23827775,0.0,0.12476707,0.0,0.074798144
72,80130,-0.49817577,0.0,0.11128449,-0.49817577,0.0,0.2264372,-0.49817577,0.022329796,0.0
73,80131,-1.0723528,0.0,0.08994756,-1.0723528,0.0,0.0,-1.0723528,0.0,0.12343326
74,80132,-1.5415583,0.0,0.01788624,-1.5415583,0.0,0.0,-1.5415583,0.0,0.39871678
75,80133,-1.8598623,0.0,0.119783975,-1.8598623,0.0,0.32250756,-1.8598623,0.0,0.0
76,80134,-1.9961065,0.0,0.1524645,-1.9961065,0.0,0.3793896,-1.9961065,0.0,0.0
77,80135,-1.9369539,0.0,0.69955134,-1.9369539,0.0,0.25599667,-1.9369539,0.016887574,0.0
78,80136,-1.6881951,0.11776107,0.0,-1.6881951,0.0,0.17913684,-1.6881951,0.0,0.0
79,80137,-1.2741808,0.0,0.0,-1.2741808,0.18014584,0.0,-1.2741808,0.0,0.101723425
80,80138,-0.73543817,0.0,0.0,-0.73543817,0.0,0.21598901,-0.73543817,0.29554206,0.0
81,80139,-0.12470436,0.0,0.060164966,-0.12470436,0.0,0.0,-0.12470436,0.18281858,0.0
82,80140,0.49823663,0.0,0.21310389,0.49823663,0.0,0.0,0.49823663,0.34613454,0.0
83,80141,1.0724057,0.0,0.23390613,1.0724057,0.0,0.0,1.0724057,0.0,0.0
84,80142,1.5415982,0.0,0.14866908,1.5415982,0.0,0.0,1.5415982,0.0,0.07196387
85,80143,1.8598853,0.2598271,0.0,1.8598853,0.0,0.0,1.8598853,0.0,0.10196012
86,80144,1.9961103,0.0,0.028255913,1.9961103,0.0,1.0,-3.0038896,0.44187337,0.0
87,80145,1.9369383,0.0,0.03590335,1.9369383,0.0,0.07448746,1.9369383,0.0,0.3050235
88,80146,1.6881615,0.0,0.0,1.6881615,0.0,0.2160564,1.6881615,0.0,0.0
89,80147,1.2741323,0.2513551,0.0,1.2741323,0.0,0.0,1.2741323,0.023312388,0.0
90,80148,0.73537976,0.077473424,0.0,0.73537976,0.23647696,0.0,0.73537976,0.0,0.19774394
91,80149,0.12464165,0.0,0.0,0.12464165,0.0,0.38212997,0.12464165,0.0,0.0
92,80150,-0.49829745,0.0,0.04444686,-0.49829745,0.0,0.11528035,-0.49829745,0.0,0.0
93,80151,-1.0724587,0.0,0.21034642,-1.0724587,0.0,0.082657516,-1.0724587,0.0,0.0
94,80152,-1.5416383,0.0,0.0,-1.5416383,0.0,0.2228627,-1.5416383,0.0,0.0
95,80153,-1.8599085,0.056799367,0.0,-1.8599085,0.32891303,0.0,-1.8599085,0.0,0.3154703
