,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.00055580545,0.0,-0.7359056,0.0,0.012157174,-0.7359056,0.0,0.004377577
1,80059,-0.12520604,0.0,0.0018588996,-0.12520604,0.0,0.0063498546,-0.12520604,0.0,0.00427646
2,80060,0.49774978,0.00086167484,0.0,0.49774978,0.0,0.00047568482,0.49774978,0.0,0.015497381
3,80061,1.0719814,0.0,0.0045781303,1.0719814,0.0005697468,0.0,1.0719814,0.0,0.013324549
4,80062,1.541278,0.0,0.0031272245,1.541278,0.0,0.0042956085,1.541278,0.0,0.020098692
5,80063,1.8597006,0.0,0.0040382817,1.8597006,0.0143155595,0.0,1.8597006,0.0,0.019152697
6,80064,1.996079,0.0,0.003463832,-3.003921,0.0,0.013606064,1.996079,0.0,0.015215867
7,80065,1.9370635,0.0,0.0025746105,1.9370635,0.0,0.059787802,1.9370635,0.0,0.021656089
8,80066,1.6884309,0.0,0.008016767,1.6884309,0.0,0.0137632815,1.6884309,0.0,0.011021711
9,80067,1.2745197,0.009275182,0.0,1.2745197,0.0,0.00013235863,1.2745197,0.0,0.024919366
10,80068,0.7358472,0.023007222,0.0,0.7358472,0.0068040397,0.0,0.7358472,0.0,0.010433824
11,80069,0.12514333,0.016888155,0.0,0.12514333,0.0,0.0007659332,0.12514333,0.0,0.015188657
12,80070,-0.49781063,0.011459772,0.0,-0.49781063,0.0,0.034462627,-0.49781063,0.0,0.0005247314
13,80071,-1.0720345,0.0,0.09669201,-1.0720345,0.0,0.03274331,-1.0720345,0.0028934134,0.0
14,80072,-1.541318,0.2803243,0.0,-1.541318,0.0,0.11328152,-1.541318,0.0,0.0040245084
15,80073,-1.8597236,0.2379106,0.0,-1.8597236,0.0,0.111819185,-1.8597236,0.0,0.007839729
16,80074,-1.9960829,0.43836388,0.0,-1.9960829,0.26624104,0.0,-1.9960829,0.0,0.11338028
17,80075,-1.9370478,0.6388649,0.0,-1.9370478,0.28385887,0.0,-1.9370478,0.0,0.11955612
18,80076,-1.6883973,0.01406344,0.0,-1.6883973,0.0057320693,0.0,-1.6883973,0.0,0.011651927
19,80077,-1.2744713,0.054335903,0.0,-1.2744713,0.0,0.004570404,-1.2744713,0.0,0.026086744
20,80078,-0.7357887,0.0,0.033995505,-0.7357887,0.0,0.011438607,-0.7357887,0.0,0.0019840356
21,80079,-0.12508062,0.0,0.0111510465,-0.12508062,0.0,0.012363102,-0.12508062,0.0,0.0016306314
22,80080,0.4978715,0.0030748185,0.0,0.4978715,0.00010817126,0.0,0.4978715,0.0,0.014441872
23,80081,1.0720875,0.0,0.011184304,1.0720875,0.0,0.016927123,1.0720875,0.0,0.013976936
24,80082,1.5413581,0.0010178849,0.0,1.5413581,0.0,0.0058667795,1.5413581,0.0,0.01936971
25,80083,1.8597467,0.0018053179,0.0,1.8597467,0.0,0.0004944972,1.8597467,0.0,0.015870607
26,80084,1.9960868,0.0028833353,0.0,1.9960868,0.0022144874,0.0,1.9960868,0.0,0.015534334
27,80085,1.9370322,0.0,0.00012765553,1.9370322,0.009506306,0.0,1.9370322,0.0,0.012373852
28,80086,1.6883636,0.0,0.007853839,1.6883636,0.012892537,0.0,1.6883636,0.0,0.029589208
29,80087,1.2744229,0.010851392,0.0,1.2744229,0.0,0.0037369477,1.2744229,0.0,0.0071990998
30,80088,0.7357303,0.035460353,0.0,0.7357303,0.032098312,0.0,0.7357303,0.0,0.02593154
31,80089,0.12501791,0.0,0.00020794413,0.12501791,0.0,0.00032149037,0.12501791,0.0,0.016013043
32,80090,-0.49793234,0.0,0.08894534,-0.49793234,0.0,0.025044335,-0.49793234,0.0,0.0172597
33,80091,-1.0721406,0.0,0.12651536,-1.0721406,0.0,0.022248007,-1.0721406,0.0,0.013793852
34,80092,-1.541398,0.30644348,0.0,-1.541398,0.0,0.05740434,-1.541398,0.0,0.046836477
35,80093,-1.8597698,0.25279304,0.0,-1.8597698,0.0,0.06819258,-1.8597698,0.0,0.04157371
36,80094,-1.9960908,0.6354237,0.0,-1.9960908,0.048551764,0.0,-1.9960908,0.051553015,0.0
37,80095,-1.9370165,0.45299825,0.0,-1.9370165,0.05462044,0.0,-1.9370165,0.05857071,0.0
38,80096,-1.6883298,0.03784869,0.0,-1.6883298,0.04120183,0.0,-1.6883298,0.08530581,0.0
39,80097,-1.2743745,0.0478206,0.0,-1.2743745,0.023951873,0.0,-1.2743745,0.077274255,0.0
40,80098,-0.7356719,0.0,0.014988271,-0.7356719,0.0,0.011643528,-0.7356719,0.0,0.0018577239
41,80099,-0.1249552,0.0,0.007187174,-0.1249552,0.0,0.0054021804,-0.1249552,0.0,0.00052809075
42,80100,0.4979932,0.036581706,0.0,0.4979932,0.0,0.00082539377,0.4979932,0.0,0.01405353
43,80101,-3.3175178,0.019196369,0.0,1.0721936,0.010817126,0.0,1.0721936,0.0,0.03881803
44,80102,2.4533055,0.0024009317,0.0,1.5414381,0.0,0.0032266614,1.5414381,0.0,0.020369455
45,80103,3.7805083,0.0,0.002070371,1.859793,0.005786827,0.0,1.859793,0.010266192,0.0
46,80104,1.0749108,0.0,0.000526747,1.9960947,0.0,0.0027993515,1.9960947,0.0,0.016562968
47,80105,-0.78283393,0.019628549,0.0,1.9370009,0.00226387,0.0,1.9370009,0.0,0.013775376
48,80106,5.086924,0.0,0.014066632,1.6882962,0.0,0.0019443952,1.6882962,0.0,0.0120473225
49,80107,3.6084764,0.0,0.006050536,1.274326,0.0,0.0034974255,1.274326,0.0,0.017269442
50,80108,0.73561347,0.018548012,0.0,0.73561347,0.0,0.016070152,0.73561347,0.019544734,0.0
51,80109,0.124892496,0.016027153,0.0,0.124892496,0.0,0.0007138632,0.124892496,0.0,0.0153683815
52,80110,-0.49805406,0.0,0.06900638,-0.49805406,0.017863376,0.0,-0.49805406,0.0,0.026099509
53,80111,-1.0722467,0.0,0.04183473,-1.0722467,0.006471799,0.0,-1.0722467,0.0,0.026330633
54,80112,-1.5414782,0.36467406,0.0,-1.5414782,0.0,0.0004199195,-1.5414782,0.0,0.008507569
55,80113,-1.8598161,0.52004445,0.0,-1.8598161,0.0,0.0044954903,-1.8598161,0.0,0.022958174
56,80114,-1.9960986,0.6469705,0.0,-1.9960986,0.0,0.042231474,-1.9960986,0.0,0.02162787
57,80115,-1.9369853,0.45709532,0.0,-1.9369853,0.0,0.04725539,-1.9369853,0.0,0.025207935
58,80116,-1.6882625,0.005107229,0.0,-1.6882625,0.0,0.04921188,-1.6882625,0.0,0.019246086
59,80117,-1.2742776,0.066517435,0.0,-1.2742776,0.0,0.042760234,-1.2742776,0.0,0.001966567
60,80118,-0.735555,0.0,0.026834704,-0.735555,0.0,0.016936865,-0.735555,0.0,0.013449853
61,80119,-0.124829784,0.0,0.0011287436,-0.124829784,0.0,0.0010148615,-0.124829784,0.0,0.0014697183
62,80120,0.4981149,0.00030838887,0.0,0.4981149,0.007126874,0.0,0.4981149,0.0,0.005199611
63,80121,1.0722997,0.0,0.0025376575,1.0722997,0.02499596,0.0,1.0722997,0.0,0.012744725
64,80122,1.5415182,0.0,0.001784154,1.5415182,0.009206987,0.0,1.5415182,0.0109353755,0.0
65,80123,1.8598392,0.0,0.010809064,1.8598392,0.041283127,0.0,1.8598392,0.06049663,0.0
66,80124,1.9961026,0.0,0.0034073947,-3.0038974,0.0,0.038846586,1.9961026,0.029979229,0.0
67,80125,1.9369696,0.0,0.0062769568,1.9369696,0.08698246,0.0,1.9369696,0.014428098,0.0
68,80126,1.6882288,0.0,0.007947564,1.6882288,0.0051448536,0.0,1.6882288,0.0,0.0050111515
69,80127,1.2742292,0.0007894487,0.0,1.2742292,0.0,0.005318532,1.2742292,0.0,0.016177986
