,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.99960214,0.0,-0.7359056,2.1506996e-05,0.0,-0.7359056,0.0,1.7922495e-05
1,80059,-0.12520604,0.9996105,0.0,-0.12520604,2.6286327e-05,0.0,-0.12520604,0.0,2.3896662e-06
2,80060,0.49774978,3.5844992e-06,0.0,0.49774978,1.1948331e-06,0.0,0.49774978,5.974165e-06,0.0
3,80061,1.0719814,3.5844992e-06,0.0,1.0719814,1.4337997e-05,0.0,1.0719814,1.911733e-05,0.0
4,80062,1.541278,0.0015556726,0.0,1.541278,1.6727663e-05,0.0,1.541278,9.558665e-06,0.0
5,80063,1.8597006,0.0015425294,0.0,1.8597006,7.1689983e-06,0.0,1.8597006,2.5091495e-05,0.0
6,80064,1.996079,0.0015568675,0.0,-3.003921,1.0753498e-05,0.0,1.996079,1.911733e-05,0.0
7,80065,1.9370635,0.001553283,0.0,1.9370635,1.194833e-05,0.0,1.9370635,1.6727663e-05,0.0
8,80066,1.6884309,0.0015640365,0.0,1.6884309,2.1506996e-05,0.0,1.6884309,2.2701828e-05,0.0
9,80067,1.2745197,0.0015508933,0.0,1.2745197,1.4337997e-05,0.0,1.2745197,2.9870827e-05,0.0
10,80068,0.7358472,0.0,4.7793324e-06,0.7358472,1.0753498e-05,0.0,0.7358472,1.911733e-05,0.0
11,80069,0.12514333,0.0,3.5844992e-06,0.12514333,1.1948331e-06,0.0,0.12514333,9.558665e-06,0.0
12,80070,-0.49781063,0.9996105,0.0,-0.49781063,3.584499e-05,0.0,-0.49781063,0.0,4.7793324e-06
13,80071,-1.0720345,0.99962,0.0,-1.0720345,3.106566e-05,0.0,-1.0720345,1.1948331e-06,0.0
14,80072,-1.541318,0.99999166,0.0,-1.541318,4.4208824e-05,0.0,-1.541318,0.0,3.5844992e-06
15,80073,-1.8597236,0.99998564,0.0,-1.8597236,3.3455326e-05,0.0,-1.8597236,0.0,1.7922495e-05
16,80074,-1.9960829,0.9999534,0.0,-1.9960829,1.1948331e-06,0.0,-1.9960829,3.823466e-05,0.0
17,80075,-1.9370478,0.9998817,0.0,-1.9370478,0.0,2.5091495e-05,-1.9370478,3.106566e-05,0.0
18,80076,-1.6883973,0.99999166,0.0,-1.6883973,7.1689983e-06,0.0,-1.6883973,0.0,2.0312162e-05
19,80077,-1.2744713,0.9999725,0.0,-1.2744713,8.3638315e-06,0.0,-1.2744713,0.0,1.6727663e-05
20,80078,-0.7357887,0.9996105,0.0,-0.7357887,1.6727663e-05,0.0,-0.7357887,0.0,2.389666e-05
21,80079,-0.12508062,0.9996105,0.0,-0.12508062,2.8675993e-05,0.0,-0.12508062,0.0,0.0
22,80080,0.4978715,2.3896662e-06,0.0,0.4978715,8.3638315e-06,0.0,0.4978715,9.558665e-06,0.0
23,80081,1.0720875,5.974165e-06,0.0,1.0720875,1.7922495e-05,0.0,1.0720875,1.4337997e-05,0.0
24,80082,1.5413581,0.0015520882,0.0,1.5413581,1.6727663e-05,0.0,1.5413581,1.7922495e-05,0.0
25,80083,1.8597467,0.0015496985,0.0,1.8597467,8.3638315e-06,0.0,1.8597467,2.7481161e-05,0.0
26,80084,1.9960868,0.0015520882,0.0,1.9960868,2.5091495e-05,0.0,1.9960868,2.5091495e-05,0.0
27,80085,1.9370322,0.0015544778,0.0,1.9370322,5.974165e-06,0.0,1.9370322,1.7922495e-05,0.0
28,80086,1.6883636,0.0015508933,0.0,1.6883636,1.4337997e-05,0.0,1.6883636,2.9870827e-05,0.0
29,80087,1.2744229,0.0015485036,0.0,1.2744229,1.194833e-05,0.0,1.2744229,2.8675993e-05,0.0
30,80088,0.7357303,0.0,3.5844992e-06,0.7357303,5.974165e-06,0.0,0.7357303,2.0312162e-05,0.0
31,80089,0.12501791,0.0,0.0,0.12501791,1.1948331e-06,0.0,0.12501791,9.558665e-06,0.0
32,80090,-0.49793234,0.9996188,0.0,-0.49793234,3.584499e-05,0.0,-0.49793234,0.0,0.0
33,80091,-1.0721406,0.99962485,0.0,-1.0721406,3.106566e-05,0.0,-1.0721406,0.0,5.974165e-06
34,80092,-1.541398,0.99998564,0.0,-1.541398,4.4208824e-05,0.0,-1.541398,2.3896662e-06,0.0
35,80093,-1.8597698,0.99999285,0.0,-1.8597698,3.465016e-05,0.0,-1.8597698,3.5844992e-06,0.0
36,80094,-1.9960908,0.99989724,0.0,-1.9960908,5.2572654e-05,0.0,-1.9960908,0.0,4.7793324e-06
37,80095,-1.9370165,0.9999474,0.0,-1.9370165,0.0,1.911733e-05,-1.9370165,0.0,3.823466e-05
38,80096,-1.6883298,0.99998444,0.0,-1.6883298,0.0,1.4337997e-05,-1.6883298,0.0,6.930032e-05
39,80097,-1.2743745,0.99958897,0.0,-1.2743745,0.0,5.974165e-06,-1.2743745,0.0,4.301399e-05
40,80098,-0.7356719,0.9996105,0.0,-0.7356719,0.0,1.1948331e-06,-0.7356719,0.0,1.194833e-05
41,80099,-0.1249552,0.9996105,0.0,-0.1249552,2.7481161e-05,0.0,-0.1249552,0.0,2.3896662e-06
42,80100,0.4979932,0.0,3.5844992e-06,0.4979932,0.0,0.0,0.4979932,1.0753498e-05,0.0
43,80101,-3.3175178,0.99999046,0.0,1.0721936,1.0753498e-05,0.0,1.0721936,1.6727663e-05,0.0
44,80102,2.4533055,0.0015473089,0.0,1.5414381,1.194833e-05,0.0,1.5414381,2.6286327e-05,0.0
45,80103,3.7805083,0.0015473089,0.0,1.859793,4.7793324e-06,0.0,1.859793,5.974165e-06,0.0
46,80104,1.0749108,0.0,8.3638315e-06,1.9960947,2.7481161e-05,0.0,1.9960947,1.911733e-05,0.0
47,80105,-0.78283393,0.9996105,0.0,1.9370009,9.558665e-06,0.0,1.9370009,1.0753498e-05,0.0
48,80106,5.086924,0.0015688158,0.0,1.6882962,5.974165e-06,0.0,1.6882962,2.5091495e-05,0.0
49,80107,3.6084764,0.001538945,0.0,1.274326,1.553283e-05,0.0,1.274326,2.389666e-05,0.0
50,80108,0.73561347,0.0,0.0,0.73561347,7.1689983e-06,0.0,0.73561347,1.911733e-05,0.0
51,80109,0.124892496,0.0,2.3896662e-06,0.124892496,1.1948331e-06,0.0,0.124892496,8.3638315e-06,0.0
52,80110,-0.49805406,0.99961764,0.0,-0.49805406,2.7481161e-05,0.0,-0.49805406,7.1689983e-06,0.0
53,80111,-1.0722467,0.99961406,0.0,-1.0722467,2.2701828e-05,0.0,-1.0722467,0.0,4.7793324e-06
54,80112,-1.5414782,0.9999737,0.0,-1.5414782,3.3455326e-05,0.0,-1.5414782,0.0,1.6727663e-05
55,80113,-1.8598161,0.999951,0.0,-1.8598161,2.5091495e-05,0.0,-1.8598161,5.974165e-06,0.0
56,80114,-1.9960986,0.9998901,0.0,-1.9960986,6.0936487e-05,0.0,-1.9960986,4.8988157e-05,0.0
57,80115,-1.9369853,0.999951,0.0,-1.9369853,3.3455326e-05,0.0,-1.9369853,2.0312162e-05,0.0
58,80116,-1.6882625,0.99999285,0.0,-1.6882625,2.7481161e-05,0.0,-1.6882625,0.0,5.018299e-05
59,80117,-1.2742776,0.999583,0.0,-1.2742776,0.0,4.7793324e-06,-1.2742776,0.0,3.2260494e-05
60,80118,-0.735555,0.9996081,0.0,-0.735555,1.3143163e-05,0.0,-0.735555,0.0,2.9870827e-05
61,80119,-0.124829784,0.9996105,0.0,-0.124829784,2.7481161e-05,0.0,-0.124829784,0.0,0.0
62,80120,0.4981149,0.0,0.0,0.4981149,0.0,7.1689983e-06,0.4981149,0.0,9.558665e-06
63,80121,1.0722997,0.0,2.3896662e-06,1.0722997,0.0,1.4337997e-05,1.0722997,0.0,8.3638315e-06
64,80122,1.5415182,0.001553283,0.0,1.5415182,0.0,2.1506996e-05,1.5415182,0.0,3.3455326e-05
65,80123,1.8598392,0.0015604519,0.0,1.8598392,0.0,1.6727663e-05,1.8598392,0.0,3.584499e-05
66,80124,1.9961026,0.0015556726,0.0,-3.0038974,0.00010036598,0.0,1.9961026,0.0,1.4337997e-05
67,80125,1.9369696,0.0015544778,0.0,1.9369696,0.0,2.2701828e-05,1.9369696,0.0,3.106566e-05
68,80126,1.6882288,0.0015592572,0.0,1.6882288,0.0,2.389666e-05,1.6882288,5.974165e-06,0.0
69,80127,1.2742292,0.0,2.3896662e-06,1.2742292,1.0753498e-05,0.0,1.2742292,1.0753498e-05,0.0
70,80128,0.7354966,0.0,8.3638315e-06,0.7354966,1.911733e-05,0.0,0.7354966,2.6286327e-05,0.0
71,80129,0.12476707,0.0,0.0,0.12476707,2.3896662e-06,0.0,0.12476707,9.558665e-06,0.0
72,80130,-0.49817577,0.9996081,0.0,-0.49817577,2.6286327e-05,0.0,-0.49817577,0.0,3.5844992e-06
73,80131,-1.0723528,0.99962366,0.0,-1.0723528,2.7481161e-05,0.0,-1.0723528,5.974165e-06,0.0
74,80132,-1.5415583,0.99997133,0.0,-1.5415583,1.0753498e-05,0.0,-1.5415583,2.2701828e-05,0.0
75,80133,-1.8598623,0.9999618,0.0,-1.8598623,4.8988157e-05,0.0,-1.8598623,2.6286327e-05,0.0
76,80134,-1.9961065,0.99994504,0.0,-1.9961065,6.452099e-05,0.0,-1.9961065,5.018299e-05,0.0
77,80135,-1.9369539,0.9999044,0.0,-1.9369539,6.691065e-05,0.0,-1.9369539,4.7793324e-06,0.0
78,80136,-1.6881951,1.0,0.0,-1.6881951,0.0,0.0,-1.6881951,0.0,5.137782e-05
79,80137,-1.2741808,0.9995949,0.0,-1.2741808,1.1948331e-06,0.0,-1.2741808,0.0,3.465016e-05
80,80138,-0.73543817,0.9996117,0.0,-0.73543817,2.3896662e-06,0.0,-0.73543817,0.0,2.2701828e-05
81,80139,-0.12470436,0.9996105,0.0,-0.12470436,2.7481161e-05,0.0,-0.12470436,0.0,1.1948331e-06
82,80140,0.49823663,2.3896662e-06,0.0,0.49823663,0.0,2.1506996e-05,0.49823663,0.0,8.3638315e-06
83,80141,1.0724057,0.0,0.0,1.0724057,0.0,4.301399e-05,1.0724057,0.0,3.942949e-05
84,80142,1.5415982,0.0015496985,0.0,1.5415982,0.0,0.000113509144,1.5415982,0.0,0.00013262648
85,80143,1.8598853,0.0015580623,0.0,1.8598853,0.0,0.0001732508,1.8598853,0.0,0.00017086112
86,80144,1.9961103,0.0015556726,0.0,1.9961103,0.0,0.0001553283,-3.0038896,9.200215e-05,0.0
87,80145,1.9369383,0.0015508933,0.0,1.9369383,0.0,0.00019236813,1.9369383,0.0,0.00016488697
88,80146,1.6881615,0.001553283,0.0,1.6881615,0.0,3.2260494e-05,1.6881615,0.0,5.7351986e-05
89,80147,1.2741323,0.0,5.974165e-06,1.2741323,0.0,3.5844992e-06,1.2741323,0.0,8.3638315e-06
90,80148,0.73537976,0.0,0.0,0.73537976,0.0,8.3638315e-06,0.73537976,1.4337997e-05,0.0
91,80149,0.12464165,0.0,2.3896662e-06,0.12464165,0.0,0.0,0.12464165,8.3638315e-06,0.0
92,80150,-0.49829745,0.99961644,0.0,-0.49829745,4.4208824e-05,0.0,-0.49829745,1.7922495e-05,0.0
93,80151,-1.0724587,0.99961644,0.0,-1.0724587,5.2572654e-05,0.0,-1.0724587,3.584499e-05,0.0
94,80152,-1.5416383,0.9999749,0.0,-1.5416383,6.452099e-05,0.0,-1.5416383,4.301399e-05,0.0
95,80153,-1.8599085,0.99980044,0.0,-1.8599085,7.885898e-05,0.0,-1.8599085,7.168998e-05,0.0
