,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,1.6769682424461136e-08,-0.7359056,0.0,1.2176181518610274e-08,-0.7359056,0.0,1.7195694993200145e-08
1,80059,-0.12520604,4.392109978838455e-10,0.0,-0.12520604,0.0,2.699704756329355e-09,-0.12520604,0.0,2.153664122242476e-09
2,80060,0.49774978,3.860228277298661e-09,0.0,0.49774978,0.0,2.329975796460026e-09,0.49774978,0.0,8.676574589927844e-09
3,80061,1.0719814,0.0,1.493841055727696e-08,1.0719814,1.358287955394544e-08,0.0,1.0719814,8.712992967491049e-09,0.0
4,80062,1.541278,6.941270524739129e-09,0.0,1.541278,2.7998168465213743e-08,0.0,1.541278,0.0,4.8913099305274315e-09
5,80063,1.8597006,0.0,2.9027671555474755e-08,1.8597006,1.731353149778895e-08,0.0,1.8597006,3.007719515781995e-08,0.0
6,80064,1.996079,0.0,5.962127528288534e-09,-3.003921,0.0,1.6568302938802393e-08,1.996079,1.6023606837682794e-08,0.0
7,80065,1.9370635,2.6081799689812787e-09,0.0,1.9370635,1.5449068919097862e-08,0.0,1.9370635,4.244695296549991e-09,0.0
8,80066,1.6884309,1.8955635173460738e-08,0.0,1.6884309,5.0885442780045284e-08,0.0,1.6884309,8.20286991569208e-09,0.0
9,80067,1.2745197,0.0,8.596967955301339e-09,1.2745197,2.620120748999046e-08,0.0,1.2745197,2.9684377603768864e-08,0.0
10,80068,0.7358472,0.0,5.9293730452020525e-09,0.7358472,1.6118897739660583e-08,0.0,0.7358472,1.0489734348580636e-08,0.0
11,80069,0.12514333,0.0,3.841031791034265e-09,0.12514333,1.5585803344169495e-09,0.0,0.12514333,4.629912506336261e-09,0.0
12,80070,-0.49781063,1.4953184870838805e-10,0.0,-0.49781063,7.657558910343819e-09,0.0,-0.49781063,0.0,8.296496748543595e-09
13,80071,-1.0720345,3.443802451425029e-08,0.0,-1.0720345,0.0,7.36248439799183e-09,-1.0720345,4.456755288435174e-09,0.0
14,80072,-1.541318,0.0,3.12095684465734e-08,-1.541318,1.605722220870322e-08,0.0,-1.541318,0.0,5.890013360732184e-09
15,80073,-1.8597236,0.0,1.3728697671420842e-08,-1.8597236,0.0,3.768313597927104e-08,-1.8597236,0.0,4.4080296860338435e-08
16,80074,-1.9960829,2.1001696908203034e-08,0.0,-1.9960829,3.816448561505971e-08,0.0,-1.9960829,0.0,1.5807461775466494e-08
17,80075,-1.9370478,0.0,1.5314991846406033e-07,-1.9370478,0.0,6.878039199964744e-08,-1.9370478,2.401469127666094e-08,0.0
18,80076,-1.6883973,3.912458693506077e-09,0.0,-1.6883973,0.0,2.0809790866464245e-08,-1.6883973,0.0,2.0996995821936593e-08
19,80077,-1.2744713,0.0,4.1311952699674504e-08,-1.2744713,0.0,3.391622707811309e-08,-1.2744713,0.0,2.5398353261050512e-08
20,80078,-0.7357887,0.0,6.238367252262587e-09,-0.7357887,0.0,1.821142434595279e-08,-0.7357887,0.0,2.53010993912961e-08
21,80079,-0.12508062,3.639410687841372e-09,0.0,-0.12508062,9.417642637678718e-10,0.0,-0.12508062,0.0,1.239225500188171e-10
