,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.013930276,-0.7359056,0.0,0.0073004593,-0.7359056,0.0,0.008905176
1,80059,-0.12520604,0.0,0.006520388,-0.12520604,0.0,0.0021128566,-0.12520604,0.0,0.0023572177
2,80060,0.49774978,0.0019768453,0.0,0.49774978,0.0009573739,0.0,0.49774978,0.0005138406,0.0
3,80061,1.0719814,0.0053080935,0.0,1.0719814,0.00057887466,0.0,1.0719814,0.0,0.0033497426
4,80062,1.541278,0.0002757233,0.0,1.541278,0.001749188,0.0,1.541278,0.0,0.0014349762
5,80063,1.8597006,0.0,0.00021755284,1.8597006,0.007902875,0.0,1.8597006,0.0,0.015388809
6,80064,1.996079,1.4620066e-05,0.0,-3.003921,0.0,0.0039961548,1.996079,0.0,0.0060146735
7,80065,1.9370635,0.0,0.0018512104,1.9370635,0.0,0.0097921295,1.9370635,0.0038823755,0.0
8,80066,1.6884309,0.0,0.0036486182,1.6884309,0.012320002,0.0,1.6884309,0.0017424235,0.0
9,80067,1.2745197,0.003877138,0.0,1.2745197,0.0012183577,0.0,1.2745197,0.0010742458,0.0
10,80068,0.7358472,0.010037541,0.0,0.7358472,0.004815173,0.0,0.7358472,0.0036677946,0.0
11,80069,0.12514333,0.0006303323,0.0,0.12514333,0.00026431488,0.0,0.12514333,0.00061037234,0.0
12,80070,-0.49781063,0.0024413064,0.0,-0.49781063,0.0049835625,0.0,-0.49781063,0.0030560044,0.0
13,80071,-1.0720345,0.0046236874,0.0,-1.0720345,0.0014091608,0.0,-1.0720345,0.0024033375,0.0
14,80072,-1.541318,0.10696083,0.0,-1.541318,0.0,0.005700614,-1.541318,0.005797147,0.0
15,80073,-1.8597236,0.002229933,0.0,-1.8597236,0.00305077,0.0,-1.8597236,0.001756524,0.0
16,80074,-1.9960829,0.0024370707,0.0,-1.9960829,0.005355282,0.0,-1.9960829,0.018339079,0.0
17,80075,-1.9370478,0.055600673,0.0,-1.9370478,0.03375796,0.0,-1.9370478,0.0048761475,0.0
18,80076,-1.6883973,0.0012422994,0.0,-1.6883973,0.0,0.0014832821,-1.6883973,0.0,0.006203016
19,80077,-1.2744713,0.0,0.05442869,-1.2744713,0.0,0.015187659,-1.2744713,0.0,0.006930942
20,80078,-0.7357887,0.0,0.0021420533,-0.7357887,0.0,0.00702743,-0.7357887,0.0,0.006963547
21,80079,-0.12508062,0.0,0.0091444235,-0.12508062,0.0,0.0019534475,-0.12508062,0.0,0.0010319038
22,80080,0.4978715,0.0075063673,0.0,0.4978715,0.0016587696,0.0,0.4978715,0.00084058585,0.0
23,80081,1.0720875,0.0,0.007637649,1.0720875,0.0,0.008621785,1.0720875,0.0038116518,0.0
