,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,6.2552435e-06,-0.7359056,0.0,4.2866063e-06,-0.7359056,0.0,5.351149e-06
1,80059,-0.12520604,3.630954e-07,0.0,-0.12520604,0.0,2.3815896e-07,-0.12520604,2.3814155e-07,0.0
2,80060,0.49774978,1.5825849e-06,0.0,0.49774978,0.0,2.9951254e-06,0.49774978,0.0,1.719559e-06
3,80061,1.0719814,5.313332e-07,0.0,1.0719814,0.0,7.596313e-06,1.0719814,0.0,3.5952425e-08
4,80062,1.541278,0.0,1.4664176e-06,1.541278,0.0,5.6988015e-06,1.541278,0.0,3.866491e-06
5,80063,1.8597006,5.0104472e-06,0.0,1.8597006,0.0,1.9886358e-05,1.8597006,0.0,1.2761015e-05
6,80064,1.996079,5.410578e-06,0.0,-3.003921,0.0,1.1374259e-05,1.996079,7.732424e-06,0.0
7,80065,1.9370635,2.0402188e-06,0.0,1.9370635,2.2006454e-06,0.0,1.9370635,1.15179255e-05,0.0
8,80066,1.6884309,3.9444594e-06,0.0,1.6884309,7.019732e-06,0.0,1.6884309,4.198078e-06,0.0
9,80067,1.2745197,0.0,1.6781219e-06,1.2745197,0.0,9.274404e-06,1.2745197,0.0,6.5834756e-06
10,80068,0.7358472,0.0,8.924782e-07,0.7358472,0.0,5.2985133e-06,0.7358472,0.0,1.244137e-06
11,80069,0.12514333,0.0,7.1562766e-07,0.12514333,4.458387e-07,0.0,0.12514333,2.4108132e-08,0.0
12,80070,-0.49781063,0.0,4.3396102e-07,-0.49781063,2.7498627e-06,0.0,-0.49781063,4.7872354e-06,0.0
13,80071,-1.0720345,4.6968203e-06,0.0,-1.0720345,1.4861546e-06,0.0,-1.0720345,0.0,4.5368147e-06
14,80072,-1.541318,1.5568949e-06,0.0,-1.541318,7.663547e-06,0.0,-1.541318,0.0,7.905537e-06
15,80073,-1.8597236,1.2391957e-06,0.0,-1.8597236,1.4328473e-06,0.0,-1.8597236,0.0,7.079524e-06
16,80074,-1.9960829,2.9234668e-06,0.0,-1.9960829,0.0,1.1915925e-05,-1.9960829,2.3708948e-05,0.0
17,80075,-1.9370478,0.0,1.940003e-05,-1.9370478,0.0,9.841683e-06,-1.9370478,7.2121134e-06,0.0
18,80076,-1.6883973,2.4482247e-07,0.0,-1.6883973,0.0,1.0829613e-05,-1.6883973,0.0,8.630789e-06
19,80077,-1.2744713,0.0,8.697337e-06,-1.2744713,0.0,5.3399867e-06,-1.2744713,0.0,2.469779e-06
20,80078,-0.7357887,0.0,3.1479772e-06,-0.7357887,0.0,8.467201e-06,-0.7357887,0.0,5.61573e-06
21,80079,-0.12508062,0.0,4.9570025e-07,-0.12508062,0.0,1.9935776e-07,-0.12508062,0.0,8.625902e-08
22,80080,0.4978715,0.0,3.9409155e-08,0.4978715,0.0,4.078086e-06,0.4978715,0.0,2.4752671e-06
23,80081,1.0720875,0.0,6.284252e-07,1.0720875,0.0,5.723763e-06,1.0720875,0.0,2.9377566e-06
24,80082,1.5413581,0.0,6.1143726e-07,1.5413581,0.0,8.873109e-06,1.5413581,0.0,3.8087694e-06
25,80083,1.8597467,0.0,1.1820706e-06,1.8597467,0.0,1.2665947e-05,1.8597467,0.0,9.288319e-06
26,80084,1.9960868,1.1869896e-06,0.0,1.9960868,8.659365e-06,0.0,1.9960868,8.275067e-06,0.0
27,80085,1.9370322,4.3294135e-06,0.0,1.9370322,4.546214e-06,0.0,1.9370322,8.064778e-06,0.0
28,80086,1.6883636,3.443958e-06,0.0,1.6883636,5.858742e-06,0.0,1.6883636,5.119052e-06,0.0
29,80087,1.2744229,1.0,0.0,1.2744229,0.0001542522,0.0,1.2744229,0.0,1.2981848e-05
30,80088,0.7357303,0.0,3.88956e-06,0.7357303,0.0,6.144688e-07,0.7357303,0.0,5.389605e-06
31,80089,0.12501791,3.5591233e-10,0.0,0.12501791,0.0,5.3149955e-07,0.12501791,0.0,7.7437005e-07
32,80090,-0.49793234,6.161961e-06,0.0,-0.49793234,3.1276218e-06,0.0,-0.49793234,5.830925e-06,0.0
