,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.0,-0.7359056,0.0,0.0,-0.7359056,0.0,0.009254286
1,80059,-0.12520604,0.0,0.0,-0.12520604,0.0,0.0,-0.12520604,0.07355246,0.0
2,80060,0.49774978,0.0,0.0,0.49774978,0.0,0.0,0.49774978,0.026568709,0.0
3,80061,1.0719814,0.0,0.0,1.0719814,0.0,0.017663285,1.0719814,0.0,0.0
4,80062,1.541278,0.0,0.0,1.541278,0.0,0.0,1.541278,0.0,0.052963395
5,80063,1.8597006,0.0,0.0062179896,1.8597006,0.0,0.0,1.8597006,0.0,0.0
6,80064,1.996079,0.0,0.0,-3.003921,0.0,0.056547888,1.996079,0.0,0.0
7,80065,1.9370635,0.0,0.0,1.9370635,0.0,0.017215278,1.9370635,0.0,0.0
8,80066,1.6884309,0.0,0.0,1.6884309,0.0,0.11974842,1.6884309,0.0628093,0.0
9,80067,1.2745197,0.02337731,0.0,1.2745197,0.0,0.0,1.2745197,0.0,0.0
10,80068,0.7358472,0.009109472,0.0,0.7358472,0.009741389,0.0,0.7358472,0.0,0.11126311
11,80069,0.12514333,0.0,0.0,0.12514333,0.0,0.0,0.12514333,0.0,0.0
12,80070,-0.49781063,0.0,0.0,-0.49781063,0.023658244,0.0,-0.49781063,0.0,0.0
13,80071,-1.0720345,0.0,0.0,-1.0720345,0.036083777,0.0,-1.0720345,0.018084496,0.0
14,80072,-1.541318,0.0010523904,0.0,-1.541318,0.070733644,0.0,-1.541318,0.023069117,0.0
15,80073,-1.8597236,0.0,0.048417892,-1.8597236,0.0,0.07520065,-1.8597236,0.0,0.019772602
16,80074,-1.9960829,0.045293882,0.0,-1.9960829,0.0,0.0,-1.9960829,0.0,0.0
17,80075,-1.9370478,0.013326518,0.0,-1.9370478,0.03672506,0.0,-1.9370478,0.13276823,0.0
18,80076,-1.6883973,0.0,0.08396901,-1.6883973,0.0,0.0,-1.6883973,0.15309845,0.0
19,80077,-1.2744713,0.0,0.121938415,-1.2744713,0.0,0.0,-1.2744713,0.0,0.0
20,80078,-0.7357887,0.0,0.07285489,-0.7357887,0.0,0.06350477,-0.7357887,0.09426527,0.0
21,80079,-0.12508062,0.0,0.0067496267,-0.12508062,0.0,0.0,-0.12508062,0.0,0.0
22,80080,0.4978715,0.0,0.0,0.4978715,0.0,0.0,0.4978715,0.0,0.0
23,80081,1.0720875,0.0,0.0,1.0720875,0.07185859,0.0,1.0720875,0.04071774,0.0
24,80082,1.5413581,0.0,0.03287053,1.5413581,0.0,0.037316598,1.5413581,0.0,0.0
25,80083,1.8597467,0.0,0.0,1.8597467,0.0,0.0,1.8597467,0.0,0.0
26,80084,1.9960868,0.019714842,0.0,1.9960868,0.0,0.0,1.9960868,0.0,0.0
27,80085,1.9370322,0.0,0.0,1.9370322,0.0,0.0,1.9370322,0.037084084,0.0
28,80086,1.6883636,0.0,0.028936287,1.6883636,0.0,0.0,1.6883636,0.0,0.0
29,80087,1.2744229,0.0,0.0,1.2744229,0.0,0.0015747218,1.2744229,0.0,0.0
30,80088,0.7357303,0.037735745,0.0,0.7357303,0.026075318,0.0,0.7357303,0.0,0.0
31,80089,0.12501791,0.0,0.0,0.12501791,0.0,0.0,0.12501791,0.0,0.0
32,80090,-0.49793234,0.0,0.030685397,-0.49793234,0.0,0.0,-0.49793234,0.0,0.1565308
33,80091,-1.0721406,0.0,0.06955414,-1.0721406,0.0,0.0,-1.0721406,0.0,0.0
34,80092,-1.541398,0.0,0.0,-1.541398,0.0,0.0,-1.541398,0.07167982,0.0
35,80093,-1.8597698,0.0,0.0,-1.8597698,0.17519769,0.0,-1.8597698,0.0,0.0
36,80094,-1.9960908,0.11628071,0.0,-1.9960908,0.02537299,0.0,-1.9960908,0.055783138,0.0
37,80095,-1.9370165,0.0,0.0,-1.9370165,0.0,0.0,-1.9370165,0.0,0.0
38,80096,-1.6883298,0.0,0.0,-1.6883298,0.0,0.0,-1.6883298,0.0632405,0.0
39,80097,-1.2743745,0.0,0.0,-1.2743745,0.0,0.0,-1.2743745,0.0,0.0
40,80098,-0.7356719,0.0054579116,0.0,-0.7356719,0.043241743,0.0,-0.7356719,0.0,0.0
41,80099,-0.1249552,0.0,0.0,-0.1249552,0.06213763,0.0,-0.1249552,0.0,0.18012542
42,80100,0.4979932,0.0,0.0,0.4979932,0.0,0.0,0.4979932,0.16283296,0.0
43,80101,-3.3175178,0.0,0.0,1.0721936,0.049427398,0.0,1.0721936,0.0,0.0
44,80102,2.4533055,0.0,0.0,1.5414381,0.0,0.0,1.5414381,0.0,0.0
45,80103,3.7805083,0.08039145,0.0,1.859793,0.0,0.0,1.859793,0.0,0.0
46,80104,1.0749108,0.0,0.0,1.9960947,0.0,0.0,1.9960947,0.0,0.0
47,80105,-0.78283393,0.081445396,0.0,1.9370009,0.0,0.0,1.9370009,0.0,0.0
48,80106,5.086924,0.0,0.0,1.6882962,0.08342151,0.0,1.6882962,0.0,0.06654803
49,80107,3.6084764,0.0,0.058369976,1.274326,0.0,0.0,1.274326,0.0,0.0
50,80108,0.73561347,0.0,0.0,0.73561347,0.08918108,0.0,0.73561347,0.035397895,0.0
51,80109,0.124892496,0.037360873,0.0,0.124892496,0.0,0.0,0.124892496,0.0,0.07816655
52,80110,-0.49805406,0.0,0.0,-0.49805406,0.0,0.0,-0.49805406,0.0048656305,0.0
53,80111,-1.0722467,0.0,0.0,-1.0722467,0.0,0.0,-1.0722467,0.0,0.0
54,80112,-1.5414782,0.015084991,0.0,-1.5414782,0.09441912,0.0,-1.5414782,0.0,0.03756122
55,80113,-1.8598161,0.0,0.0,-1.8598161,0.0,0.0,-1.8598161,0.0,0.0
56,80114,-1.9960986,0.15592907,0.0,-1.9960986,0.0,0.0,-1.9960986,0.112398714,0.0
57,80115,-1.9369853,0.0,0.0,-1.9369853,0.0,0.0,-1.9369853,0.03958273,0.0
58,80116,-1.6882625,0.0,0.0,-1.6882625,0.0,0.053969037,-1.6882625,0.0,0.0
59,80117,-1.2742776,0.0,0.0,-1.2742776,0.007180678,0.0,-1.2742776,0.0,0.0
60,80118,-0.735555,0.0,0.0,-0.735555,0.0,0.0,-0.735555,0.0,0.0
61,80119,-0.124829784,0.0,0.0,-0.124829784,0.0,0.0,-0.124829784,0.0,0.0
62,80120,0.4981149,0.0,0.0,0.4981149,0.0,0.0,0.4981149,0.019964935,0.0
63,80121,1.0722997,0.0,0.0,1.0722997,0.24758632,0.0,1.0722997,0.02676782,0.0
64,80122,1.5415182,0.01891023,0.0,1.5415182,0.0,0.0,1.5415182,0.0135158105,0.0
65,80123,1.8598392,0.0,0.0,1.8598392,0.0,0.0,1.8598392,0.074385345,0.0
66,80124,1.9961026,0.0,0.0,-3.0038974,0.0,0.056679845,1.9961026,0.0,0.0
67,80125,1.9369696,0.0,0.03233888,1.9369696,0.08276227,0.0,1.9369696,0.0,0.0
68,80126,1.6882288,0.0,0.0,1.6882288,0.0,0.0,1.6882288,0.068808205,0.0
69,80127,1.2742292,0.050855942,0.0,1.2742292,0.0,0.0,1.2742292,0.0,0.038247593
70,80128,0.7354966,0.0,0.0,0.7354966,0.0,0.033560254,0.7354966,0.0,0.051039793
71,80129,0.12476707,0.0,0.023291124,0.12476707,0.01783386,0.0,0.12476707,0.0,0.0
72,80130,-0.49817577,0.0,0.0,-0.49817577,0.0,0.0,-0.49817577,0.026982345,0.0
73,80131,-1.0723528,0.0,0.0,-1.0723528,0.0,0.0,-1.0723528,0.0,0.0
74,80132,-1.5415583,0.0,0.0,-1.5415583,0.0,0.0,-1.5415583,0.0,0.0
75,80133,-1.8598623,0.02033478,0.0,-1.8598623,0.0,0.07359502,-1.8598623,0.0,0.0
76,80134,-1.9961065,0.0,0.009992869,-1.9961065,0.08088678,0.0,-1.9961065,0.02037656,0.0
77,80135,-1.9369539,0.017157612,0.0,-1.9369539,0.0,0.0,-1.9369539,0.0,0.0
78,80136,-1.6881951,0.0,0.0,-1.6881951,0.116050825,0.0,-1.6881951,0.06359159,0.0
79,80137,-1.2741808,0.0,0.0,-1.2741808,0.0,0.0,-1.2741808,0.0,0.0
80,80138,-0.73543817,0.0,0.0,-0.73543817,0.0,0.0,-0.73543817,0.0,0.0
81,80139,-0.12470436,0.0,0.0,-0.12470436,0.0,0.0,-0.12470436,0.0,0.0
82,80140,0.49823663,0.0,0.0,0.49823663,0.0,0.0,0.49823663,0.0,0.0
83,80141,1.0724057,0.0,0.0,1.0724057,0.0,0.0,1.0724057,0.0,0.017650943
84,80142,1.5415982,0.0,0.0,1.5415982,0.0,0.0,1.5415982,0.0,0.0
85,80143,1.8598853,0.0,0.089553654,1.8598853,0.0,0.0,1.8598853,0.0,0.0
86,80144,1.9961103,0.0,0.0,1.9961103,0.0066286908,0.0,-3.0038896,0.0,0.09315145
87,80145,1.9369383,0.0,0.0,1.9369383,0.0,0.0,1.9369383,0.0539605,0.0
88,80146,1.6881615,0.0,0.0,1.6881615,0.0,0.09260102,1.6881615,0.0,0.0
89,80147,1.2741323,0.0,0.0,1.2741323,0.0,0.07385106,1.2741323,0.0,0.0
90,80148,0.73537976,0.0,0.0,0.73537976,0.0,0.0,0.73537976,0.0,0.0
91,80149,0.12464165,0.0,0.089456856,0.12464165,0.0,0.015902884,0.12464165,0.034226336,0.0
92,80150,-0.49829745,0.0,0.0,-0.49829745,0.0,0.0,-0.49829745,0.0,0.0
93,80151,-1.0724587,0.0,0.035395574,-1.0724587,0.0,0.0,-1.0724587,0.0017590293,0.0
94,80152,-1.5416383,0.0,0.059196126,-1.5416383,0.0015199042,0.0,-1.5416383,0.0,0.0
95,80153,-1.8599085,0.0,1.0,-1.8599085,0.0,0.0,-1.8599085,0.0,0.0
