,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.0,0.20952247,-0.7359056,0.0,0.023197329,-0.7359056,0.0,0.0
1,80059,-0.12520604,0.0,0.68200463,-0.12520604,0.58942366,0.0,-0.12520604,0.0340438,0.0
2,80060,0.49774978,0.0,0.0,0.49774978,0.0,0.105143644,0.49774978,0.0,0.0
3,80061,1.0719814,0.0,0.026715524,1.0719814,0.0,0.0,1.0719814,0.0,0.03766998
4,80062,1.541278,0.0,0.0,1.541278,0.49529454,0.0,1.541278,0.13039255,0.0
5,80063,1.8597006,0.0,0.3109676,1.8597006,0.0,0.034659293,1.8597006,0.0,0.0
6,80064,1.996079,0.0,0.0,-3.003921,0.0,0.35894763,1.996079,0.0,0.0
7,80065,1.9370635,0.032454643,0.0,1.9370635,0.10493586,0.0,1.9370635,0.0,0.0
8,80066,1.6884309,0.4344367,0.0,1.6884309,0.2423473,0.0,1.6884309,0.0,0.0
9,80067,1.2745197,0.0,0.0,1.2745197,0.057248753,0.0,1.2745197,0.0,0.0
10,80068,0.7358472,0.0,0.20214188,0.7358472,0.0,0.014253374,0.7358472,0.09954323,0.0
11,80069,0.12514333,0.0,0.8168831,0.12514333,0.0,0.0,0.12514333,0.28516373,0.0
12,80070,-0.49781063,0.0,0.31761804,-0.49781063,0.0,0.0,-0.49781063,0.0,0.0
13,80071,-1.0720345,0.025336076,0.0,-1.0720345,0.0,0.56148475,-1.0720345,0.45340833,0.0
14,80072,-1.541318,0.16397066,0.0,-1.541318,0.49042842,0.0,-1.541318,0.14636485,0.0
15,80073,-1.8597236,0.0,0.0,-1.8597236,0.0,0.013374907,-1.8597236,0.16357775,0.0
16,80074,-1.9960829,0.0,0.0,-1.9960829,0.0,0.0,-1.9960829,0.22616515,0.0
17,80075,-1.9370478,0.0,0.0,-1.9370478,0.48975143,0.0,-1.9370478,0.3279462,0.0
18,80076,-1.6883973,0.0,0.0,-1.6883973,0.0,0.4779527,-1.6883973,0.0,0.20649287
19,80077,-1.2744713,0.0,0.5854749,-1.2744713,0.0,0.41237924,-1.2744713,0.0,0.0
20,80078,-0.7357887,0.0,0.0,-0.7357887,0.13657181,0.0,-0.7357887,0.0,0.0
21,80079,-0.12508062,0.32415456,0.0,-0.12508062,0.0,0.0,-0.12508062,0.3510181,0.0
22,80080,0.4978715,0.0,0.6893289,0.4978715,0.0,0.0,0.4978715,0.36432317,0.0
23,80081,1.0720875,0.0,0.0,1.0720875,0.0,0.0,1.0720875,0.0,0.0
24,80082,1.5413581,0.0,0.0,1.5413581,0.0,0.0,1.5413581,0.0,0.0
25,80083,1.8597467,0.0,0.0928463,1.8597467,0.0,0.17548913,1.8597467,0.348747,0.0
26,80084,1.9960868,0.0,0.060667515,1.9960868,0.0,0.0,1.9960868,0.0,0.072452866
27,80085,1.9370322,0.0,0.02855925,1.9370322,0.0,0.0,1.9370322,0.23663217,0.0
28,80086,1.6883636,0.0,0.0,1.6883636,0.028593086,0.0,1.6883636,0.0,0.3727775
29,80087,1.2744229,0.0,0.0,1.2744229,0.0,0.0,1.2744229,0.0,0.0
30,80088,0.7357303,0.12314123,0.0,0.7357303,0.39444903,0.0,0.7357303,0.0,0.0
31,80089,0.12501791,0.0,0.0,0.12501791,0.07105588,0.0,0.12501791,0.09025159,0.0
32,80090,-0.49793234,0.0,0.0,-0.49793234,0.0,0.0,-0.49793234,0.0,0.0
33,80091,-1.0721406,0.0,0.0,-1.0721406,0.079372615,0.0,-1.0721406,0.0,0.0
34,80092,-1.541398,0.0,0.0,-1.541398,0.40015134,0.0,-1.541398,0.0,0.0
35,80093,-1.8597698,0.0,0.25051183,-1.8597698,0.0,0.38589254,-1.8597698,0.062051427,0.0
36,80094,-1.9960908,0.0,0.0,-1.9960908,0.6382153,0.0,-1.9960908,0.0,0.0
37,80095,-1.9370165,0.1539946,0.0,-1.9370165,0.12193282,0.0,-1.9370165,0.07443011,0.0
38,80096,-1.6883298,0.0,0.0,-1.6883298,0.0,0.0,-1.6883298,0.0,0.018949885
39,80097,-1.2743745,0.0,0.0,-1.2743745,0.0,0.0,-1.2743745,0.15285435,0.0
40,80098,-0.7356719,0.0,0.0,-0.7356719,0.0,0.0,-0.7356719,0.0,0.4427959
41,80099,-0.1249552,0.40390646,0.0,-0.1249552,0.0,0.0,-0.1249552,0.0,0.0
42,80100,0.4979932,0.0,0.086969234,0.4979932,0.0,0.0,0.4979932,0.2554335,0.0
43,80101,-3.3175178,0.0,0.0,1.0721936,0.24782597,0.0,1.0721936,0.0,0.0
44,80102,2.4533055,0.0,0.0,1.5414381,0.0,0.39101195,1.5414381,0.022748133,0.0
45,80103,3.7805083,0.35906127,0.0,1.859793,0.0,0.0,1.859793,0.0,0.0
46,80104,1.0749108,0.0,0.0,1.9960947,0.0,0.4086099,1.9960947,0.0,0.036512397
47,80105,-0.78283393,0.0,0.09334432,1.9370009,0.0,0.0,1.9370009,0.15010573,0.0
48,80106,5.086924,0.0,0.0,1.6882962,0.70630807,0.0,1.6882962,0.38298547,0.0
49,80107,3.6084764,0.0,0.0,1.274326,0.0,0.0,1.274326,0.10087932,0.0
50,80108,0.73561347,0.0,0.0,0.73561347,0.00979644,0.0,0.73561347,0.0,0.0
