,ds,y,pos_attr,neg_attr,raw_pos_attr,raw_neg_attr
0,80000,0.49738464300471114,6.2070513864695475e-06,0.0,2.3045444573241902e-09,0.0
1,80001,1.071663139158449,4.540510433319774e-06,0.0,1.6857937047757157e-09,0.0
2,80002,1.541037699751342,2.201419287869069e-06,0.0,8.17339555004201e-10,0.0
3,80003,1.8595617611113358,5.447775472803926e-06,0.0,2.0226416681460402e-09,0.0
4,80004,1.9960553503654095,2.530366535389594e-05,0.0,9.39470581287947e-09,0.0
5,80005,1.937157258970549,0.0,1.128965982419679e-05,0.0,4.191607472372897e-09
6,80006,1.6886329568371727,0.0,2.0327386248509373e-05,0.0,7.547120588208147e-09
7,80007,1.2748102167794828,1.2711542963358606e-05,0.0,4.719522049407172e-09,0.0
8,80008,0.7361976953453551,0.0,3.964019388793323e-06,0.0,1.4717549996577742e-09
9,80009,0.12551958467467797,7.688848725888759e-07,0.0,2.854703886144158e-10,0.0
10,80010,-0.4974455011971096,8.380866275679475e-06,0.0,3.1116350938054408e-09,0.0
11,80011,-1.0717161896585063,8.137803210252287e-06,0.0,3.0213910140751688e-09,0.0
12,80012,-1.5410777494964356,0.0,9.734351590396534e-06,0.0,3.61415503216139e-09
13,80013,-1.8595848896729326,0.0,1.610551867130673e-05,0.0,5.9796321111821805e-09
14,80014,-1.996059293719398,0.0,1.5970611779704568e-05,0.0,5.929544088715618e-09
15,80015,-1.937141631104572,0.0,3.446874359903021e-05,0.0,1.279750191616421e-08
16,80016,-1.6885992875468947,0.0,1.4946677330790947e-06,0.0,5.549379287107726e-10
17,80017,-1.2747618019037847,1.0,0.0,0.0003712784563613821,0.0
18,80018,-0.7361392741849289,4.698606119011851e-07,0.0,1.7444912269168644e-10,0.0
19,80019,-0.12545687599470876,0.0,1.9381953692891067e-06,0.0,7.196101848364385e-10
20,80020,0.4975063589126339,1.097930310650484e-05,0.0,4.076378709306844e-09,0.0
21,80021,1.071769239094658,5.425913590091153e-06,0.0,2.014524822079288e-09,0.0
22,80022,1.541117797720516,0.0,1.1316543958864381e-05,0.0,4.2015889723928916e-09
23,80023,1.8596080164045123,2.462021088449422e-06,0.0,9.140953892486711e-10,0.0
24,80024,1.9960632351024021,1.9346245927162993e-05,0.0,7.1828443242247516e-09,0.0
25,80025,1.9371260013230547,0.0,1.8247218457244868e-05,0.0,6.7747991016947946e-09
26,80026,1.6885656165822045,0.0,4.534675800731381e-05,0.0,1.6836274313948613e-08
27,80027,1.274713385781135,0.0,2.0943948493877274e-05,0.0,7.776036866919049e-09
28,80028,0.7360808522844174,0.0,1.150474033419074e-05,0.0,4.27146223211687e-09
29,80029,0.12539416719817773,0.0,2.6457453436647123e-06,0.0,9.823082471211488e-10
30,80030,-0.49756721612303473,3.387729692632962e-06,0.0,1.2577910508503855e-09,0.0
31,80031,-1.0718222874852805,0.0,7.590115344924913e-06,0.0,2.818046308868561e-09
32,80032,-1.5411578444189062,0.0,2.5219885204725323e-05,0.0,9.363600048421678e-09
33,80033,-1.8596311412953397,0.0,7.0110422976162545e-06,0.0,2.6030489617433207e-09
34,80034,-1.9960671745162442,0.0,3.8793843501530944e-05,0.0,1.4403318331573443e-08
35,80035,-1.9371103696332526,0.0,4.0035109109072565e-05,0.0,1.486417351027597e-08
36,80036,-1.6885319439587319,0.0,2.0111162576344864e-05,0.0,7.466841396978118e-09
37,80037,-1.274664968389155,0.0,2.3435510534540226e-05,0.0,8.701100175305004e-09
38,80038,-0.7360224296709393,0.0,1.7457955234934733e-05,0.0,6.4817626708526775e-09
39,80039,-0.12533145826336187,0.0,2.3968760480379037e-06,0.0,8.899084392050829e-10
40,80040,0.49762807284939375,1.0549461154600568e-05,0.0,3.916787652924463e-09,0.0
41,80041,1.07187533480575,0.0,2.877305748125387e-06,0.0,1.0682816366437254e-09
42,80042,1.5411978896054788,1.2405431471633806e-05,0.0,4.605869447285109e-09,0.0
43,80043,1.859654264353426,1.151368879002095e-05,0.0,4.274784600984328e-09,0.0
44,80044,1.9960711119590953,0.0,6.393868746441205e-06,0.0,2.3739057183559757e-09
45,80045,1.9370947360279402,0.0,5.393833511992533e-06,0.0,2.00261418020288e-09
46,80046,1.6884982696648125,2.6868994820332182e-05,0.0,9.975878920874904e-09,0.0
47,80047,1.2746165497503197,4.8374254616577435e-06,0.0,1.7960318581675332e-09,0.0
48,80048,0.7359640063174909,1.1690228722973051e-05,0.0,4.340330074776926e-09,0.0
49,80049,0.12526874921936965,2.2684792207779637e-06,0.0,8.422374633783133e-10,0.0
50,80050,-0.4976889290846038,0.0,1.9814085580091697e-06,0.0,7.356543108388766e-10
51,80051,-1.0719283810805853,0.0,1.622162369723972e-05,0.0,6.02273940598638e-09
52,80052,-1.5412379332616455,0.0,2.5336769806385933e-05,0.0,9.406996782898643e-09
53,80053,-1.8596773855760704,0.0,6.508386524080113e-05,0.0,2.4164237020636856e-08
54,80054,-1.99607504743232,0.0,7.654475690216248e-05,0.0,2.8419419185192136e-08
55,80055,-1.9370791005143748,0.0,2.4167860951186748e-05,0.0,8.97300610751314e-09
56,80056,-1.688464593700479,0.0,6.984133117471811e-05,0.0,2.5930581628773416e-08
57,80057,-1.2745681298478562,0.0,4.6066399736557497e-05,0.0,1.7103461784315447e-08
58,80058,-0.7359055822511914,1.0138449900910726e-05,0.0,3.764188029107342e-09,0.0
59,80059,-0.1252060400372163,0.0,4.725962835614364e-06,0.0,1.7546481864281613e-09
60,80060,0.4977497848286047,0.0,5.196959219840079e-06,0.0,1.929518996915277e-09
61,80061,1.071981426285163,0.0,6.719276766557088e-05,0.0,2.4947227057522148e-08
62,80062,1.5412779754059145,0.0,3.02140188355624e-05,0.0,1.1217814273741332e-08
63,80063,1.85970050496325,0.0,2.7545419879614823e-05,0.0,1.0227020972729519e-08
64,80064,1.9960789809354578,9.20306355381863e-06,0.0,3.4168992300574768e-09,0.0
65,80065,1.9370634630871402,0.0,6.98099233320227e-05,0.0,2.591892057341982e-08
66,80066,1.688430916077464,0.0,0.00011406592323535042,0.0,4.2350219902256814e-08
67,80067,1.2745197086874192,0.0,4.9385136795591526e-05,0.0,1.8335637356662916e-08
68,80068,0.7358471574518023,0.0,4.755638650596248e-05,0.0,1.7656661772059012e-08
69,80069,0.12514333074601044,0.09814312446008214,0.0,3.64384277520223e-05,0.0
70,80070,-0.4978106400813364,3.0048069852943143e-05,0.0,1.1156200991639712e-08,0.0
71,80071,-1.072034470437859,0.0,6.319268178523e-06,0.0,2.3462081346556223e-09
72,80072,-1.5413180160196993,0.0,1.4409636782160476e-05,0.0,5.349987701208735e-09
73,80073,-1.859723622517619,0.0,2.9996159643013736e-05,0.0,1.1136927849027727e-08
74,80074,-1.9960829124685053,0.0,2.1404907824037847e-05,0.0,7.947181135466442e-09
75,80075,-1.9370478237480624,1.2448816194699387e-05,0.0,4.621977260294563e-09,0.0
76,80076,-1.6883972367880014,0.0,4.370466893403201e-05,0.0,1.6226602017612656e-08
77,80077,-1.2744712862690564,1.704581639172434e-05,0.0,6.328744397338958e-09,0.0
78,80078,-0.7357887319261467,0.0,2.2888785429309612e-05,0.0,8.498112922180968e-09
79,80079,-0.12508062133129064,0.0,2.0149554318601115e-06,0.0,7.481095423780043e-10
80,80080,0.4978714948427389,6.048099442581395e-06,0.0,2.245529024961756e-09,0.0
81,80081,2.0655158195549435,3.0279706529624908e-05,0.0,1.1242202699394799e-08,0.0
82,80082,1.2648294527745012,6.269794766451602e-05,0.0,2.3278397225908232e-08,0.0
83,80083,3.1551238144325087,0.0,1.8738132167912498e-05,0.0,6.957064786398111e-09
84,80084,5.042146554847509,0.0,0.00011667720720215397,0.0,4.3319733382572864e-08
85,80085,1.4687254330504846,0.0,8.641893468953457e-06,0.0,3.208548867192549e-09
86,80086,1.2200896419259626,0.0,6.1326530669069635e-06,0.0,2.276921964081113e-09
87,80087,4.432848493607598,0.0,7.337728194512728e-05,0.0,2.724340397258077e-08
88,80088,0.7357303056742821,0.0,4.510162840779659e-06,0.0,1.6745262974631376e-09
89,80089,0.12501791177859528,0.0,6.941086160142372e-07,0.0,2.577075755009013e-10
90,80090,-0.4979323491057052,1.422154084430812e-05,0.0,5.280151731755066e-09,0.0
91,80091,-1.0721405555689685,2.7880083652976613e-05,0.0,1.035127442190336e-08,0.0
92,80092,-1.5413980926927517,0.0,2.1400925992904566e-05,0.0,7.945702767349787e-09
93,80093,-1.8597698521090955,0.0,3.1062338305014585e-05,0.0,1.1532777016860846e-08
94,80094,-1.9960907696243133,7.066215818842872e-06,0.0,2.6235337015363613e-09,0.0
95,80095,-1.9370165393344383,0.0,0.00013911886792264486,0.0,5.165183853306258e-08
