,ds,y,pos_attr,neg_attr,raw_pos_attr,raw_neg_attr
0,80000,0.49738464300471114,2.0220462882679543e-06,0.0,7.499451084828894e-10,0.0
1,80001,1.071663139158449,0.0,2.244205746702604e-06,0.0,8.323405512197546e-10
2,80002,1.541037699751342,0.0,7.741019883679788e-07,0.0,2.8710223055314837e-10
3,80003,1.8595617611113358,0.0,4.576991164549792e-06,0.0,1.697533906784956e-09
4,80004,1.9960553503654095,0.0,1.0319607744756152e-06,0.0,3.827379914369425e-10
5,80005,1.937157258970549,0.0,9.573787143659098e-07,0.0,3.55076680474689e-10
6,80006,1.6886329568371727,0.0,2.2388108999218292e-06,0.0,8.303396875512368e-10
7,80007,1.2748102167794828,3.708779285945559e-06,0.0,1.3755278007606898e-09,0.0
8,80008,0.7361976953453551,3.338639459423475e-06,0.0,1.2382487711135913e-09,0.0
9,80009,0.12551958467467797,3.190925021229165e-07,0.0,1.183463813410664e-10,0.0
10,80010,-0.4974455011971096,0.0,7.832233488593962e-07,0.0,2.904851994411193e-10
11,80011,-1.0717161896585063,2.8745379395137867e-06,0.0,1.0661208298715149e-09,0.0
12,80012,-1.5410777494964356,0.0,5.542391015234232e-06,0.0,2.0555855003372822e-09
13,80013,-1.8595848896729326,3.12847302989439e-06,0.0,1.1603013538328227e-09,0.0
14,80014,-1.996059293719398,0.0,6.34074154812612e-07,0.0,2.351681133988592e-10
15,80015,-1.937141631104572,0.0,5.772251180583129e-06,0.0,2.140837013934497e-09
16,80016,-1.6885992875468947,0.0,6.866795485004263e-06,0.0,2.5467862505474522e-09
17,80017,-1.2747618019037847,1.0,0.0,0.00037088424376539755,0.0
18,80018,-0.7361392741849289,0.0,3.2737298775007296e-07,0.0,1.2141748299090456e-10
19,80019,-0.12545687599470876,0.0,4.282660349500911e-07,0.0,1.5883712450286986e-10
20,80020,0.4975063589126339,3.322824863119079e-06,0.0,1.2323833865227803e-09,0.0
21,80021,1.071769239094658,0.0,8.787699180077782e-07,0.0,3.2592191648409524e-10
22,80022,1.541117797720516,5.527694555020659e-06,0.0,2.050134814804943e-09,0.0
23,80023,1.8596080164045123,0.0,2.16292553270728e-06,0.0,8.021950005190092e-10
24,80024,1.9960632351024021,5.792367896636672e-06,0.0,2.1482979869550585e-09,0.0
25,80025,1.9371260013230547,0.0,7.333220398853722e-07,0.0,2.71977590199385e-10
26,80026,1.6885656165822045,0.0,5.151967307902543e-07,0.0,1.9107834988954856e-10
27,80027,1.274713385781135,4.387650057101326e-06,0.0,1.6273102733352286e-09,0.0
28,80028,0.7360808522844174,1.966854741786232e-06,0.0,7.294754335037728e-10,0.0
29,80029,0.12539416719817773,3.887653858434812e-07,0.0,1.441869561307225e-10,0.0
