,ds,y,pos_attr,neg_attr,raw_pos_attr,raw_neg_attr
0,80000,0.49738464300471114,0.0,0.0030628848,0.0,0.009608746
1,80001,1.071663139158449,0.01625232,0.0,0.05098605,0.0
2,80002,1.541037699751342,0.09376078,0.0,0.29414213,0.0
3,80003,1.8595617611113358,0.065134,0.0,0.20433545,0.0
4,80004,1.9960553503654095,0.012689214,0.0,0.039808035,0.0
5,80005,1.937157258970549,0.100195214,0.0,0.31432796,0.0
6,80006,1.6886329568371727,0.11606952,0.0,0.3641281,0.0
7,80007,1.2748102167794828,0.0,0.016176093,0.0,0.050746918
8,80008,0.7361976953453551,0.0,0.014579369,0.0,0.045737743
9,80009,0.12551958467467797,0.0,0.014663727,0.0,0.046002388
10,80010,-0.4974455011971096,0.0,0.01253623,0.0,0.0393281
11,80011,-1.0717161896585063,0.0,0.005702763,0.0,0.017890453
12,80012,-1.5410777494964356,0.056812823,0.0,0.17823064,0.0
13,80013,-1.8595848896729326,0.039572638,0.0,0.12414551,0.0
14,80014,-1.996059293719398,0.06682146,0.0,0.2096293,0.0
15,80015,-1.937141631104572,0.0,0.045133892,0.0,0.14159203
16,80016,-1.6885992875468947,0.0,0.025837459,0.0,0.08105612
17,80017,-1.2747618019037847,0.0,0.03200784,0.0,0.10041356
18,80018,-0.7361392741849289,0.0,0.00051625667,0.0,0.0016195774
19,80019,-0.12545687599470876,0.0,0.005295108,0.0,0.016611576
20,80020,0.4975063589126339,0.0,0.0075052157,0.0,0.023545027
21,80021,1.071769239094658,0.012277911,0.0,0.038517714,0.0
22,80022,1.541117797720516,0.0533894,0.0,0.16749084,0.0
23,80023,1.8596080164045123,0.13376641,0.0,0.41964602,0.0
24,80024,1.9960632351024021,0.0070053744,0.0,0.021976948,0.0
25,80025,1.9371260013230547,0.07155285,0.0,0.2244724,0.0
26,80026,1.6885656165822045,0.103730395,0.0,0.32541835,0.0
27,80027,1.274713385781135,0.0077743256,0.0,0.024389267,0.0
28,80028,0.7360808522844174,0.036431625,0.0,0.11429167,0.0
29,80029,0.12539416719817773,0.0,0.011319344,0.0,0.03551054
30,80030,-0.49756721612303473,0.0,0.011967838,0.0,0.037544966
31,80031,-1.0718222874852805,0.0,0.036801584,0.0,0.11545229
32,80032,-1.5411578444189062,0.0,0.03341829,0.0,0.10483837
33,80033,-1.8596311412953397,0.0,0.019253114,0.0,0.06040001
34,80034,-1.9960671745162442,0.0044826097,0.0,0.014062643,0.0
35,80035,-1.9371103696332526,0.0,0.010821403,0.0,0.03394842
36,80036,-1.6885319439587319,0.0,0.0339841,0.0,0.1066134
37,80037,-1.274664968389155,0.0,0.06763791,0.0,0.21219063
38,80038,-0.7360224296709393,0.0,0.035985593,0.0,0.11289239
39,80039,-0.12533145826336187,0.0,0.008076343,0.0,0.025336742
40,80040,0.49762807284939375,0.014598368,0.0,0.045797348,0.0
41,80041,1.07187533480575,0.049590815,0.0,0.15557408,0.0
42,80042,1.5411978896054788,0.18134545,0.0,0.5689088,0.0
43,80043,1.859654264353426,0.16563518,0.0,0.5196233,0.0
44,80044,1.9960711119590953,0.21983339,0.0,0.6896515,0.0
45,80045,1.9370947360279402,0.3015701,0.0,0.9460722,0.0
46,80046,1.6884982696648125,0.15621515,0.0,0.49007118,0.0
47,80047,1.2746165497503197,0.025632871,0.0,0.080414295,0.0
48,80048,0.7359640063174909,0.0035469942,0.0,0.011127472,0.0
49,80049,0.12526874921936965,0.0,0.017391458,0.0,0.054559708
50,80050,-0.4976889290846038,0.0022474988,0.0,0.0070507526,0.0
51,80051,-1.0719283810805853,0.0,0.0019087741,0.0,0.005988121
52,80052,-1.5412379332616455,0.007345391,0.0,0.023043633,0.0
53,80053,-1.8596773855760704,0.0,0.009065841,0.0,0.028440952
54,80054,-1.99607504743232,0.0,0.015307585,0.0,0.04802227
55,80055,-1.9370791005143748,0.046172105,0.0,0.14484906,0.0
56,80056,-1.688464593700479,0.0,0.051783517,0.0,0.16245294
57,80057,-1.2745681298478562,0.0,0.035568587,0.0,0.11158419
58,80058,-0.7359055822511914,0.0,0.071156405,0.0,0.2232287
59,80059,-0.1252060400372163,0.0,0.011339179,0.0,0.035572767
60,80060,0.4977497848286047,0.03751673,0.0,0.11769581,0.0
61,80061,1.071981426285163,0.08523928,0.0,0.26740885,0.0
62,80062,1.5412779754059145,0.2664719,0.0,0.8359637,0.0
63,80063,1.85970050496325,0.36309695,0.0,1.1390915,0.0
64,80064,1.9960789809354578,0.3694047,0.0,1.1588799,0.0
65,80065,1.9370634630871402,0.3328019,0.0,1.0440513,0.0
66,80066,1.688430916077464,0.28591225,0.0,0.8969511,0.0
67,80067,1.2745197086874192,0.0741168,0.0,0.23251593,0.0
68,80068,0.7358471574518023,0.03644895,0.0,0.11434603,0.0
69,80069,0.12514333074601044,0.0,0.007625749,0.0,0.023923159
70,80070,-0.4978106400813364,0.0,0.008521921,0.0,0.02673459
71,80071,-1.072034470437859,0.0,0.017199032,0.0,0.05395603
72,80072,-1.5413180160196993,0.021234998,0.0,0.06661749,0.0
