,ds,y,pos_attr,neg_attr,raw_pos_attr,raw_neg_attr
0,80000,0.49738464300471114,0.0,1.3546467382025395e-11,0.0,6.071929030182549e-15
1,80001,1.071663139158449,0.0,1.6445192630321435e-11,0.0,7.371223782776584e-15
2,80002,1.541037699751342,1.0,0.0,0.00044822970143783026,0.0
3,80003,1.8595617611113358,0.0,1.3524493115437325e-10,0.0,6.062079511230464e-14
4,80004,1.9960553503654095,0.0,1.4813746576492715e-10,0.0,6.63996120515701e-14
5,80005,1.937157258970549,0.0,1.2688187631703096e-10,0.0,5.687222553945449e-14
6,80006,1.6886329568371727,0.0,3.961381193195594e-11,0.0,1.7756087095074967e-14
7,80007,1.2748102167794828,0.0,2.8903613911747267e-11,0.0,1.2955458234136794e-14
8,80008,0.7361976953453551,1.2159851264059933e-11,0.0,5.4504065016180066e-15,0.0
9,80009,0.12551958467467797,7.455811068290732e-12,0.0,3.341915969116825e-15,0.0
10,80010,-0.4974455011971096,0.0,3.2830875285869664e-11,0.0,1.4715773427328e-14
11,80011,-1.0717161896585063,0.0,2.2174356869721022e-11,0.0,9.939205359290954e-15
12,80012,-1.5410777494964356,0.0,7.828013790572517e-11,0.0,3.5087482841995374e-14
13,80013,-1.8595848896729326,0.0,5.068421596444604e-11,0.0,2.271817098935416e-14
14,80014,-1.996059293719398,0.0,6.674316429502691e-11,0.0,2.991626860497597e-14
15,80015,-1.937141631104572,0.0,5.959739813722328e-11,0.0,2.6713323973519096e-14
16,80016,-1.6885992875468947,0.0,7.821838657922289e-11,0.0,3.505980406335386e-14
17,80017,-1.2747618019037847,0.0,3.7637159206591984e-11,0.0,1.6870092634138808e-14
18,80018,-0.7361392741849289,0.0,4.05474118466967e-12,0.0,1.8174554306121606e-15
19,80019,-0.12545687599470876,0.0,1.0927274556281713e-12,0.0,4.897929011891351e-16
20,80020,0.4975063589126339,0.0,1.8321484241610408e-11,0.0,8.212233411514945e-15
21,80021,1.071769239094658,1.6292704121516218e-11,0.0,7.302873904002121e-15,0.0
22,80022,1.541117797720516,0.0,2.5210101285018046e-11,0.0,1.12999161722011e-14
23,80023,1.8596080164045123,0.0,9.981276538055685e-11,0.0,4.47390460262112e-14
24,80024,1.9960632351024021,0.0,1.274178677649085e-10,0.0,5.711247282610987e-14
25,80025,1.9371260013230547,0.0,6.24844333941843e-11,0.0,2.800737892478722e-14
26,80026,1.6885656165822045,0.0,4.0085277605327084e-11,0.0,1.79674120130883e-14
27,80027,1.274713385781135,0.0,4.262704183247603e-11,0.0,1.9106706233748634e-14
28,80028,0.7360808522844174,1.3877086175854051e-11,0.0,6.220122193430103e-15,0.0
29,80029,0.12539416719817773,4.07142800357351e-12,0.0,1.8249349584673755e-15,0.0
30,80030,-0.49756721612303473,0.0,1.3610770147328367e-11,0.0,6.100751439475927e-15
31,80031,-1.0718222874852805,0.0,2.9497806922647345e-11,0.0,1.3221793190008982e-14
32,80032,-1.5411578444189062,0.0,5.564113472265936e-11,0.0,2.4940009204399695e-14
33,80033,-1.8596311412953397,0.0,2.334814877655788e-11,0.0,1.046533375524258e-14
34,80034,-1.9960671745162442,0.0,4.2427609203425644e-11,0.0,1.9017314605972417e-14
35,80035,-1.9371103696332526,0.0,4.67667688257164e-11,0.0,2.096225482796289e-14
36,80036,-1.6885319439587319,0.0,8.976932418504608e-11,0.0,4.0237277377739e-14
37,80037,-1.274664968389155,0.0,7.174587067922339e-11,0.0,3.215863019394548e-14
38,80038,-0.7360224296709393,0.0,2.0464449255606773e-11,0.0,9.172773979930252e-15
39,80039,-0.12533145826336187,0.0,6.071509731550275e-13,0.0,2.7214309942496606e-16
40,80040,0.49762807284939375,0.0,2.4470918396530317e-11,0.0,1.0968592446786292e-14
41,80041,1.07187533480575,0.0,3.907243806932633e-12,0.0,1.7513427250262252e-15
42,80042,1.5411978896054788,0.0,6.362937530162956e-11,0.0,2.852057589412507e-14
43,80043,1.859654264353426,0.0,1.0715244903070317e-10,0.0,4.802891023736441e-14
44,80044,1.9960711119590953,0.0,2.8631189603667613e-10,0.0,1.2833349567861844e-13
45,80045,1.9370947360279402,0.0,2.521894548595002e-10,0.0,1.1303880405744295e-13
46,80046,1.6884982696648125,0.0,1.775064633159643e-10,0.0,7.956366905539985e-14
47,80047,1.2746165497503197,0.0,1.4685903159063192e-10,0.0,6.582657988331782e-14
48,80048,0.7359640063174909,0.0,1.0270139115958396e-10,0.0,4.603381389671014e-14
49,80049,0.12526874921936965,0.0,1.2647644061689093e-12,0.0,5.669049721662849e-16
50,80050,-0.4976889290846038,0.0,2.5588348556431997e-12,0.0,1.1469457833736648e-15
51,80051,-1.0719283810805853,0.0,1.5456972457306567e-11,0.0,6.928274149671287e-15
52,80052,-1.5412379332616455,0.0,5.248236449388376e-11,0.0,2.3524154567844903e-14
53,80053,-1.8596773855760704,0.0,3.068785614612865e-11,0.0,1.3755208598146329e-14
54,80054,-1.99607504743232,0.0,5.1424441473983254e-11,0.0,2.304996204849069e-14
55,80055,-1.9370791005143748,0.0,5.3406343831819036e-11,0.0,2.3938309550622354e-14
56,80056,-1.688464593700479,0.0,1.0630808208754524e-10,0.0,4.7650439894528755e-14
57,80057,-1.2745681298478562,0.0,6.714566028883739e-11,0.0,3.009667926411156e-14
58,80058,-0.7359055822511914,0.0,1.8730484810796987e-11,0.0,8.395559614529348e-15
59,80059,-0.1252060400372163,0.0,4.454516113396469e-12,0.0,1.9966464275577033e-15
60,80060,0.4977497848286047,0.0,2.297349491628715e-11,0.0,1.0297402767310901e-14
61,80061,1.071981426285163,0.0,3.061232417639029e-11,0.0,1.3721352925901494e-14
62,80062,1.5412779754059145,0.0,1.0892359880557433e-10,0.0,4.882279217215658e-14
63,80063,1.85970050496325,0.0,2.275299096718732e-10,0.0,1.019856634804002e-13
64,80064,1.9960789809354578,0.0,1.4942709445490869e-10,0.0,6.697766193424618e-14
65,80065,1.9370634630871402,0.0,1.752738862797039e-10,0.0,7.856296171699989e-14
66,80066,1.688430916077464,0.0,8.667887553686823e-11,0.0,3.88520465028573e-14
67,80067,1.2745197086874192,3.902049400846101e-11,0.0,1.7490144379369122e-14,0.0
68,80068,0.7358471574518023,4.0519756850954915e-11,0.0,1.8162158515636998e-14,0.0
69,80069,0.12514333074601044,1.624035510776198e-11,0.0,7.279409521196494e-15,0.0
70,80070,-0.4978106400813364,0.0,3.894876090342115e-11,0.0,1.74579914711139e-14
71,80071,-1.072034470437859,0.0,6.853549383394123e-11,0.0,3.071964393908173e-14
72,80072,-1.5413180160196993,0.0,9.163714685852598e-11,0.0,4.1074490977011705e-14
73,80073,-1.859723622517619,0.0,6.301805490285553e-11,0.0,2.8246563934299732e-14
74,80074,-1.9960829124685053,0.0,6.86747110895742e-11,0.0,3.0782045248009097e-14
75,80075,-1.9370478237480624,0.0,1.0066320248132922e-10,0.0,4.512023719398205e-14
76,80076,-1.6883972367880014,0.0,1.1810128005640682e-10,0.0,5.2936501499108803e-14
77,80077,-1.2744712862690564,0.0,6.908326114341218e-11,0.0,3.09651695166633e-14
78,80078,-0.7357887319261467,0.0,4.728456784623657e-11,0.0,2.1194347728335447e-14
79,80079,-0.12508062133129064,0.0,2.590327921422869e-12,0.0,1.161061910845448e-15
80,80080,0.4978714948427389,2.5660540271367863e-12,0.0,1.1501816304568637e-15,0.0
81,80081,1.0720875135324783,0.0,2.3259020950790656e-11,0.0,1.0425384016509135e-14
82,80082,1.5413580551168704,0.0,7.827449595513953e-11,0.0,3.5084953952168844e-14
83,80083,1.8597467382311237,0.0,3.0304181674715206e-10,0.0,1.3583234304375363e-13
84,80084,-3.0039131579685416,5.039751596544566e-10,0.0,2.2589663534399988e-13,0.0
85,80085,1.9370321824971566,0.0,2.2625812485796308e-10,0.0,1.0141561175296811e-13
86,80086,1.6883635558243237,0.0,9.685364256550083e-11,0.0,4.341267929030076e-14
87,80087,1.2744228625928156,5.797465646905298e-11,0.0,2.5985962960084392e-14,0.0
88,80088,0.7357303056742821,4.387271818555593e-11,0.0,1.96650553735778e-14,0.0
89,80089,0.12501791177859528,0.0,0.08112579784532736,0.0,3.636299214711686e-05
90,80090,-0.4979323491057052,0.0,4.238719010523766e-11,0.0,1.899919756565923e-14
91,80091,-1.0721405555689685,0.0,7.493709505672662e-11,0.0,3.358903174389488e-14
92,80092,-1.5413980926927517,0.0,1.0206336560393452e-10,0.0,4.5747831892391686e-14
93,80093,-1.8597698521090955,0.0,1.0905250126938643e-10,0.0,4.888057008502568e-14
94,80094,-1.9960907696243133,0.0,7.936156558697877e-11,0.0,3.5572210848690274e-14
95,80095,-1.9370165393344383,0.0,1.300985963500441e-10,0.0,5.831405499946106e-14
